Gene,Gene name,Tissue,nTPM
ENSG00000035499,DEPDC1B,adipose tissue,0.3
ENSG00000035499,DEPDC1B,adrenal gland,0.2
ENSG00000035499,DEPDC1B,amygdala,0.2
ENSG00000035499,DEPDC1B,appendix,3.8
ENSG00000035499,DEPDC1B,basal ganglia,0.2
ENSG00000035499,DEPDC1B,bone marrow,11.0
ENSG00000035499,DEPDC1B,breast,0.9
ENSG00000035499,DEPDC1B,cerebellum,0.2
ENSG00000035499,DEPDC1B,cerebral cortex,0.8
ENSG00000035499,DEPDC1B,cervix,0.6
ENSG00000035499,DEPDC1B,choroid plexus,0.3
ENSG00000035499,DEPDC1B,colon,3.9
ENSG00000035499,DEPDC1B,duodenum,5.9
ENSG00000035499,DEPDC1B,endometrium,0.6
ENSG00000035499,DEPDC1B,epididymis,0.0
ENSG00000035499,DEPDC1B,esophagus,2.4
ENSG00000035499,DEPDC1B,fallopian tube,0.2
ENSG00000035499,DEPDC1B,gallbladder,20.3
ENSG00000035499,DEPDC1B,heart muscle,0.1
ENSG00000035499,DEPDC1B,hippocampal formation,0.3
ENSG00000035499,DEPDC1B,hypothalamus,0.3
ENSG00000035499,DEPDC1B,kidney,2.8
ENSG00000035499,DEPDC1B,liver,0.3
ENSG00000035499,DEPDC1B,lung,0.3
ENSG00000035499,DEPDC1B,lymph node,8.8
ENSG00000035499,DEPDC1B,midbrain,0.5
ENSG00000035499,DEPDC1B,ovary,0.7
ENSG00000035499,DEPDC1B,pancreas,0.1
ENSG00000035499,DEPDC1B,parathyroid gland,0.0
ENSG00000035499,DEPDC1B,pituitary gland,0.0
ENSG00000035499,DEPDC1B,placenta,7.3
ENSG00000035499,DEPDC1B,prostate,0.2
ENSG00000035499,DEPDC1B,rectum,5.4
ENSG00000035499,DEPDC1B,retina,0.1
ENSG00000035499,DEPDC1B,salivary gland,0.5
ENSG00000035499,DEPDC1B,seminal vesicle,0.1
ENSG00000035499,DEPDC1B,skeletal muscle,0.0
ENSG00000035499,DEPDC1B,skin,2.0
ENSG00000035499,DEPDC1B,small intestine,6.2
ENSG00000035499,DEPDC1B,smooth muscle,0.8
ENSG00000035499,DEPDC1B,spinal cord,1.6
ENSG00000035499,DEPDC1B,spleen,1.5
ENSG00000035499,DEPDC1B,stomach,1.3
ENSG00000035499,DEPDC1B,testis,12.3
ENSG00000035499,DEPDC1B,thymus,20.2
ENSG00000035499,DEPDC1B,thyroid gland,1.2
ENSG00000035499,DEPDC1B,tongue,0.0
ENSG00000035499,DEPDC1B,tonsil,9.4
ENSG00000035499,DEPDC1B,urinary bladder,1.0
ENSG00000035499,DEPDC1B,vagina,1.1
ENSG00000077274,CAPN6,adipose tissue,2.0
ENSG00000077274,CAPN6,adrenal gland,0.0
ENSG00000077274,CAPN6,amygdala,0.0
ENSG00000077274,CAPN6,appendix,7.0
ENSG00000077274,CAPN6,basal ganglia,0.0
ENSG00000077274,CAPN6,bone marrow,0.0
ENSG00000077274,CAPN6,breast,12.3
ENSG00000077274,CAPN6,cerebellum,0.0
ENSG00000077274,CAPN6,cerebral cortex,0.0
ENSG00000077274,CAPN6,cervix,11.5
ENSG00000077274,CAPN6,choroid plexus,0.0
ENSG00000077274,CAPN6,colon,5.4
ENSG00000077274,CAPN6,duodenum,1.8
ENSG00000077274,CAPN6,endometrium,21.8
ENSG00000077274,CAPN6,epididymis,207.7
ENSG00000077274,CAPN6,esophagus,2.2
ENSG00000077274,CAPN6,fallopian tube,3.1
ENSG00000077274,CAPN6,gallbladder,8.1
ENSG00000077274,CAPN6,heart muscle,0.3
ENSG00000077274,CAPN6,hippocampal formation,0.0
ENSG00000077274,CAPN6,hypothalamus,0.0
ENSG00000077274,CAPN6,kidney,11.2
ENSG00000077274,CAPN6,liver,0.3
ENSG00000077274,CAPN6,lung,0.5
ENSG00000077274,CAPN6,lymph node,2.8
ENSG00000077274,CAPN6,midbrain,0.0
ENSG00000077274,CAPN6,ovary,6.2
ENSG00000077274,CAPN6,pancreas,7.2
ENSG00000077274,CAPN6,parathyroid gland,0.1
ENSG00000077274,CAPN6,pituitary gland,0.2
ENSG00000077274,CAPN6,placenta,80.4
ENSG00000077274,CAPN6,prostate,10.2
ENSG00000077274,CAPN6,rectum,8.3
ENSG00000077274,CAPN6,retina,0.0
ENSG00000077274,CAPN6,salivary gland,13.7
ENSG00000077274,CAPN6,seminal vesicle,69.9
ENSG00000077274,CAPN6,skeletal muscle,2.9
ENSG00000077274,CAPN6,skin,0.9
ENSG00000077274,CAPN6,small intestine,1.7
ENSG00000077274,CAPN6,smooth muscle,7.9
ENSG00000077274,CAPN6,spinal cord,0.0
ENSG00000077274,CAPN6,spleen,1.7
ENSG00000077274,CAPN6,stomach,12.6
ENSG00000077274,CAPN6,testis,1.9
ENSG00000077274,CAPN6,thymus,1.8
ENSG00000077274,CAPN6,thyroid gland,1.5
ENSG00000077274,CAPN6,tongue,8.6
ENSG00000077274,CAPN6,tonsil,4.6
ENSG00000077274,CAPN6,urinary bladder,3.7
ENSG00000077274,CAPN6,vagina,2.0
ENSG00000099953,MMP11,adipose tissue,3.2
ENSG00000099953,MMP11,adrenal gland,1.6
ENSG00000099953,MMP11,amygdala,0.3
ENSG00000099953,MMP11,appendix,1.4
ENSG00000099953,MMP11,basal ganglia,0.2
ENSG00000099953,MMP11,bone marrow,0.5
ENSG00000099953,MMP11,breast,2.1
ENSG00000099953,MMP11,cerebellum,0.9
ENSG00000099953,MMP11,cerebral cortex,0.3
ENSG00000099953,MMP11,cervix,62.9
ENSG00000099953,MMP11,choroid plexus,0.4
ENSG00000099953,MMP11,colon,3.8
ENSG00000099953,MMP11,duodenum,6.6
ENSG00000099953,MMP11,endometrium,138.5
ENSG00000099953,MMP11,epididymis,0.1
ENSG00000099953,MMP11,esophagus,0.9
ENSG00000099953,MMP11,fallopian tube,5.5
ENSG00000099953,MMP11,gallbladder,6.6
ENSG00000099953,MMP11,heart muscle,7.0
ENSG00000099953,MMP11,hippocampal formation,0.2
ENSG00000099953,MMP11,hypothalamus,0.3
ENSG00000099953,MMP11,kidney,2.5
ENSG00000099953,MMP11,liver,0.6
ENSG00000099953,MMP11,lung,1.4
ENSG00000099953,MMP11,lymph node,3.9
ENSG00000099953,MMP11,midbrain,0.3
ENSG00000099953,MMP11,ovary,15.8
ENSG00000099953,MMP11,pancreas,1.2
ENSG00000099953,MMP11,parathyroid gland,3.2
ENSG00000099953,MMP11,pituitary gland,0.5
ENSG00000099953,MMP11,placenta,38.3
ENSG00000099953,MMP11,prostate,1.9
ENSG00000099953,MMP11,rectum,3.4
ENSG00000099953,MMP11,retina,0.0
ENSG00000099953,MMP11,salivary gland,5.1
ENSG00000099953,MMP11,seminal vesicle,1.4
ENSG00000099953,MMP11,skeletal muscle,0.8
ENSG00000099953,MMP11,skin,3.7
ENSG00000099953,MMP11,small intestine,5.9
ENSG00000099953,MMP11,smooth muscle,9.1
ENSG00000099953,MMP11,spinal cord,0.4
ENSG00000099953,MMP11,spleen,1.3
ENSG00000099953,MMP11,stomach,2.5
ENSG00000099953,MMP11,testis,6.5
ENSG00000099953,MMP11,thymus,3.1
ENSG00000099953,MMP11,thyroid gland,1.3
ENSG00000099953,MMP11,tongue,0.8
ENSG00000099953,MMP11,tonsil,1.7
ENSG00000099953,MMP11,urinary bladder,2.8
ENSG00000099953,MMP11,vagina,3.5
ENSG00000102243,VGLL1,adipose tissue,0.6
ENSG00000102243,VGLL1,adrenal gland,0.0
ENSG00000102243,VGLL1,amygdala,0.0
ENSG00000102243,VGLL1,appendix,0.0
ENSG00000102243,VGLL1,basal ganglia,0.0
ENSG00000102243,VGLL1,bone marrow,0.0
ENSG00000102243,VGLL1,breast,2.4
ENSG00000102243,VGLL1,cerebellum,0.0
ENSG00000102243,VGLL1,cerebral cortex,0.0
ENSG00000102243,VGLL1,cervix,0.1
ENSG00000102243,VGLL1,choroid plexus,0.0
ENSG00000102243,VGLL1,colon,0.0
ENSG00000102243,VGLL1,duodenum,0.2
ENSG00000102243,VGLL1,endometrium,0.1
ENSG00000102243,VGLL1,epididymis,0.4
ENSG00000102243,VGLL1,esophagus,1.5
ENSG00000102243,VGLL1,fallopian tube,1.3
ENSG00000102243,VGLL1,gallbladder,0.5
ENSG00000102243,VGLL1,heart muscle,0.1
ENSG00000102243,VGLL1,hippocampal formation,0.0
ENSG00000102243,VGLL1,hypothalamus,0.0
ENSG00000102243,VGLL1,kidney,6.4
ENSG00000102243,VGLL1,liver,0.1
ENSG00000102243,VGLL1,lung,2.1
ENSG00000102243,VGLL1,lymph node,0.0
ENSG00000102243,VGLL1,midbrain,0.0
ENSG00000102243,VGLL1,ovary,0.0
ENSG00000102243,VGLL1,pancreas,1.4
ENSG00000102243,VGLL1,parathyroid gland,0.0
ENSG00000102243,VGLL1,pituitary gland,1.4
ENSG00000102243,VGLL1,placenta,196.9
ENSG00000102243,VGLL1,prostate,1.3
ENSG00000102243,VGLL1,rectum,0.0
ENSG00000102243,VGLL1,retina,0.0
ENSG00000102243,VGLL1,salivary gland,5.0
ENSG00000102243,VGLL1,seminal vesicle,6.4
ENSG00000102243,VGLL1,skeletal muscle,0.0
ENSG00000102243,VGLL1,skin,0.2
ENSG00000102243,VGLL1,small intestine,0.1
ENSG00000102243,VGLL1,smooth muscle,0.0
ENSG00000102243,VGLL1,spinal cord,0.0
ENSG00000102243,VGLL1,spleen,0.1
ENSG00000102243,VGLL1,stomach,0.8
ENSG00000102243,VGLL1,testis,0.1
ENSG00000102243,VGLL1,thymus,0.2
ENSG00000102243,VGLL1,thyroid gland,0.0
ENSG00000102243,VGLL1,tongue,0.0
ENSG00000102243,VGLL1,tonsil,1.1
ENSG00000102243,VGLL1,urinary bladder,21.9
ENSG00000102243,VGLL1,vagina,1.5
ENSG00000104827,CGB3,adipose tissue,0.0
ENSG00000104827,CGB3,adrenal gland,0.0
ENSG00000104827,CGB3,amygdala,0.0
ENSG00000104827,CGB3,appendix,0.0
ENSG00000104827,CGB3,basal ganglia,0.0
ENSG00000104827,CGB3,bone marrow,0.0
ENSG00000104827,CGB3,breast,0.1
ENSG00000104827,CGB3,cerebellum,0.0
ENSG00000104827,CGB3,cerebral cortex,0.0
ENSG00000104827,CGB3,cervix,0.0
ENSG00000104827,CGB3,choroid plexus,0.0
ENSG00000104827,CGB3,colon,0.0
ENSG00000104827,CGB3,duodenum,0.3
ENSG00000104827,CGB3,endometrium,0.0
ENSG00000104827,CGB3,epididymis,0.0
ENSG00000104827,CGB3,esophagus,0.0
ENSG00000104827,CGB3,fallopian tube,0.0
ENSG00000104827,CGB3,gallbladder,0.0
ENSG00000104827,CGB3,heart muscle,0.0
ENSG00000104827,CGB3,hippocampal formation,0.0
ENSG00000104827,CGB3,hypothalamus,0.0
ENSG00000104827,CGB3,kidney,0.0
ENSG00000104827,CGB3,liver,0.0
ENSG00000104827,CGB3,lung,0.0
ENSG00000104827,CGB3,lymph node,0.0
ENSG00000104827,CGB3,midbrain,0.0
ENSG00000104827,CGB3,ovary,0.0
ENSG00000104827,CGB3,pancreas,2.2
ENSG00000104827,CGB3,parathyroid gland,0.0
ENSG00000104827,CGB3,pituitary gland,2.0
ENSG00000104827,CGB3,placenta,9.5
ENSG00000104827,CGB3,prostate,0.0
ENSG00000104827,CGB3,rectum,0.0
ENSG00000104827,CGB3,retina,0.0
ENSG00000104827,CGB3,salivary gland,0.1
ENSG00000104827,CGB3,seminal vesicle,0.0
ENSG00000104827,CGB3,skeletal muscle,0.0
ENSG00000104827,CGB3,skin,0.0
ENSG00000104827,CGB3,small intestine,0.2
ENSG00000104827,CGB3,smooth muscle,0.0
ENSG00000104827,CGB3,spinal cord,0.0
ENSG00000104827,CGB3,spleen,0.1
ENSG00000104827,CGB3,stomach,0.2
ENSG00000104827,CGB3,testis,0.3
ENSG00000104827,CGB3,thymus,0.0
ENSG00000104827,CGB3,thyroid gland,0.0
ENSG00000104827,CGB3,tongue,0.0
ENSG00000104827,CGB3,tonsil,0.0
ENSG00000104827,CGB3,urinary bladder,0.0
ENSG00000104827,CGB3,vagina,0.0
ENSG00000136231,IGF2BP3,adipose tissue,0.3
ENSG00000136231,IGF2BP3,adrenal gland,0.0
ENSG00000136231,IGF2BP3,amygdala,0.0
ENSG00000136231,IGF2BP3,appendix,0.7
ENSG00000136231,IGF2BP3,basal ganglia,0.0
ENSG00000136231,IGF2BP3,bone marrow,0.6
ENSG00000136231,IGF2BP3,breast,0.1
ENSG00000136231,IGF2BP3,cerebellum,0.0
ENSG00000136231,IGF2BP3,cerebral cortex,0.0
ENSG00000136231,IGF2BP3,cervix,0.1
ENSG00000136231,IGF2BP3,choroid plexus,0.7
ENSG00000136231,IGF2BP3,colon,0.1
ENSG00000136231,IGF2BP3,duodenum,0.0
ENSG00000136231,IGF2BP3,endometrium,0.0
ENSG00000136231,IGF2BP3,epididymis,0.8
ENSG00000136231,IGF2BP3,esophagus,2.0
ENSG00000136231,IGF2BP3,fallopian tube,0.8
ENSG00000136231,IGF2BP3,gallbladder,0.2
ENSG00000136231,IGF2BP3,heart muscle,0.0
ENSG00000136231,IGF2BP3,hippocampal formation,0.0
ENSG00000136231,IGF2BP3,hypothalamus,0.0
ENSG00000136231,IGF2BP3,kidney,0.0
ENSG00000136231,IGF2BP3,liver,0.5
ENSG00000136231,IGF2BP3,lung,0.5
ENSG00000136231,IGF2BP3,lymph node,4.1
ENSG00000136231,IGF2BP3,midbrain,0.0
ENSG00000136231,IGF2BP3,ovary,0.5
ENSG00000136231,IGF2BP3,pancreas,0.6
ENSG00000136231,IGF2BP3,parathyroid gland,0.3
ENSG00000136231,IGF2BP3,pituitary gland,0.0
ENSG00000136231,IGF2BP3,placenta,27.9
ENSG00000136231,IGF2BP3,prostate,0.0
ENSG00000136231,IGF2BP3,rectum,0.1
ENSG00000136231,IGF2BP3,retina,0.0
ENSG00000136231,IGF2BP3,salivary gland,0.2
ENSG00000136231,IGF2BP3,seminal vesicle,0.0
ENSG00000136231,IGF2BP3,skeletal muscle,0.0
ENSG00000136231,IGF2BP3,skin,0.0
ENSG00000136231,IGF2BP3,small intestine,0.0
ENSG00000136231,IGF2BP3,smooth muscle,0.2
ENSG00000136231,IGF2BP3,spinal cord,0.0
ENSG00000136231,IGF2BP3,spleen,0.1
ENSG00000136231,IGF2BP3,stomach,0.1
ENSG00000136231,IGF2BP3,testis,5.0
ENSG00000136231,IGF2BP3,thymus,1.5
ENSG00000136231,IGF2BP3,thyroid gland,0.8
ENSG00000136231,IGF2BP3,tongue,0.0
ENSG00000136231,IGF2BP3,tonsil,7.1
ENSG00000136231,IGF2BP3,urinary bladder,0.2
ENSG00000136231,IGF2BP3,vagina,0.2
ENSG00000148848,ADAM12,adipose tissue,7.8
ENSG00000148848,ADAM12,adrenal gland,0.1
ENSG00000148848,ADAM12,amygdala,0.6
ENSG00000148848,ADAM12,appendix,4.6
ENSG00000148848,ADAM12,basal ganglia,2.0
ENSG00000148848,ADAM12,bone marrow,0.0
ENSG00000148848,ADAM12,breast,4.4
ENSG00000148848,ADAM12,cerebellum,0.4
ENSG00000148848,ADAM12,cerebral cortex,0.7
ENSG00000148848,ADAM12,cervix,12.7
ENSG00000148848,ADAM12,choroid plexus,0.8
ENSG00000148848,ADAM12,colon,0.3
ENSG00000148848,ADAM12,duodenum,0.1
ENSG00000148848,ADAM12,endometrium,5.0
ENSG00000148848,ADAM12,epididymis,0.0
ENSG00000148848,ADAM12,esophagus,0.3
ENSG00000148848,ADAM12,fallopian tube,0.2
ENSG00000148848,ADAM12,gallbladder,9.0
ENSG00000148848,ADAM12,heart muscle,0.6
ENSG00000148848,ADAM12,hippocampal formation,0.6
ENSG00000148848,ADAM12,hypothalamus,0.7
ENSG00000148848,ADAM12,kidney,1.0
ENSG00000148848,ADAM12,liver,0.2
ENSG00000148848,ADAM12,lung,1.0
ENSG00000148848,ADAM12,lymph node,2.7
ENSG00000148848,ADAM12,midbrain,0.7
ENSG00000148848,ADAM12,ovary,6.6
ENSG00000148848,ADAM12,pancreas,0.5
ENSG00000148848,ADAM12,parathyroid gland,0.1
ENSG00000148848,ADAM12,pituitary gland,1.0
ENSG00000148848,ADAM12,placenta,130.4
ENSG00000148848,ADAM12,prostate,0.3
ENSG00000148848,ADAM12,rectum,0.5
ENSG00000148848,ADAM12,retina,0.2
ENSG00000148848,ADAM12,salivary gland,0.9
ENSG00000148848,ADAM12,seminal vesicle,0.0
ENSG00000148848,ADAM12,skeletal muscle,0.1
ENSG00000148848,ADAM12,skin,0.4
ENSG00000148848,ADAM12,small intestine,0.5
ENSG00000148848,ADAM12,smooth muscle,3.1
ENSG00000148848,ADAM12,spinal cord,0.6
ENSG00000148848,ADAM12,spleen,1.3
ENSG00000148848,ADAM12,stomach,0.4
ENSG00000148848,ADAM12,testis,0.7
ENSG00000148848,ADAM12,thymus,1.4
ENSG00000148848,ADAM12,thyroid gland,0.3
ENSG00000148848,ADAM12,tongue,0.0
ENSG00000148848,ADAM12,tonsil,2.7
ENSG00000148848,ADAM12,urinary bladder,8.6
ENSG00000148848,ADAM12,vagina,0.5
ENSG00000170965,PLAC1,adipose tissue,0.0
ENSG00000170965,PLAC1,adrenal gland,0.0
ENSG00000170965,PLAC1,amygdala,0.0
ENSG00000170965,PLAC1,appendix,0.0
ENSG00000170965,PLAC1,basal ganglia,0.0
ENSG00000170965,PLAC1,bone marrow,0.0
ENSG00000170965,PLAC1,breast,0.1
ENSG00000170965,PLAC1,cerebellum,0.0
ENSG00000170965,PLAC1,cerebral cortex,0.0
