source_a,source_b,candidate_overlap,default_overlap
Wang 2016,Wang 2016,994,408
Wang 2016,Bruggeman 2018,122,29
Wang 2016,da Silva 2017 · CT,489,304
Wang 2016,da Silva 2017 · testis-biased,550,349
Wang 2016,Jamin 2021,101,36
Wang 2016,Chang 2019 · TGCT,864,367
Wang 2016,Carter 2023,82,67
Wang 2016,Seager 2024 · panel,10,10
Wang 2016,Gong 2021,9,7
Wang 2016,Bradley 2020,2,1
Wang 2016,CTpedia,138,126
Wang 2016,CTexploreR,107,93
Wang 2016,daSilva2017_protein,81,51
Wang 2016,placental_antigen,2,2
Bruggeman 2018,Wang 2016,122,29
Bruggeman 2018,Bruggeman 2018,692,40
Bruggeman 2018,da Silva 2017 · CT,57,27
Bruggeman 2018,da Silva 2017 · testis-biased,58,27
Bruggeman 2018,Jamin 2021,68,12
Bruggeman 2018,Chang 2019 · TGCT,122,29
Bruggeman 2018,Carter 2023,15,12
Bruggeman 2018,Seager 2024 · panel,2,2
Bruggeman 2018,Gong 2021,4,1
Bruggeman 2018,Bradley 2020,3,0
Bruggeman 2018,CTpedia,19,17
Bruggeman 2018,CTexploreR,23,15
Bruggeman 2018,daSilva2017_protein,24,11
Bruggeman 2018,placental_antigen,0,0
da Silva 2017 · CT,Wang 2016,489,304
da Silva 2017 · CT,Bruggeman 2018,57,27
da Silva 2017 · CT,da Silva 2017 · CT,726,375
da Silva 2017 · CT,da Silva 2017 · testis-biased,726,375
da Silva 2017 · CT,Jamin 2021,62,35
da Silva 2017 · CT,Chang 2019 · TGCT,443,300
da Silva 2017 · CT,Carter 2023,73,63
da Silva 2017 · CT,Seager 2024 · panel,11,10
da Silva 2017 · CT,Gong 2021,9,7
da Silva 2017 · CT,Bradley 2020,1,0
da Silva 2017 · CT,CTpedia,137,125
da Silva 2017 · CT,CTexploreR,108,89
da Silva 2017 · CT,daSilva2017_protein,109,53
da Silva 2017 · CT,placental_antigen,2,0
da Silva 2017 · testis-biased,Wang 2016,550,349
da Silva 2017 · testis-biased,Bruggeman 2018,58,27
da Silva 2017 · testis-biased,da Silva 2017 · CT,726,375
da Silva 2017 · testis-biased,da Silva 2017 · testis-biased,1066,515
da Silva 2017 · testis-biased,Jamin 2021,76,47
da Silva 2017 · testis-biased,Chang 2019 · TGCT,543,385
da Silva 2017 · testis-biased,Carter 2023,81,70
da Silva 2017 · testis-biased,Seager 2024 · panel,12,11
da Silva 2017 · testis-biased,Gong 2021,13,8
da Silva 2017 · testis-biased,Bradley 2020,1,0
da Silva 2017 · testis-biased,CTpedia,187,173
da Silva 2017 · testis-biased,CTexploreR,138,119
da Silva 2017 · testis-biased,daSilva2017_protein,134,70
da Silva 2017 · testis-biased,placental_antigen,4,1
Jamin 2021,Wang 2016,101,36
Jamin 2021,Bruggeman 2018,68,12
Jamin 2021,da Silva 2017 · CT,62,35
Jamin 2021,da Silva 2017 · testis-biased,76,47
Jamin 2021,Jamin 2021,481,55
Jamin 2021,Chang 2019 · TGCT,96,32
Jamin 2021,Carter 2023,16,14
Jamin 2021,Seager 2024 · panel,9,9
Jamin 2021,Gong 2021,3,2
Jamin 2021,Bradley 2020,2,0
Jamin 2021,CTpedia,41,38
Jamin 2021,CTexploreR,39,32
Jamin 2021,daSilva2017_protein,26,21
Jamin 2021,placental_antigen,1,0
Chang 2019 · TGCT,Wang 2016,864,367
Chang 2019 · TGCT,Bruggeman 2018,122,29
Chang 2019 · TGCT,da Silva 2017 · CT,443,300
Chang 2019 · TGCT,da Silva 2017 · testis-biased,543,385
Chang 2019 · TGCT,Jamin 2021,96,32
Chang 2019 · TGCT,Chang 2019 · TGCT,986,449
Chang 2019 · TGCT,Carter 2023,89,75
Chang 2019 · TGCT,Seager 2024 · panel,9,9
Chang 2019 · TGCT,Gong 2021,4,3
Chang 2019 · TGCT,Bradley 2020,1,0
Chang 2019 · TGCT,CTpedia,135,125
Chang 2019 · TGCT,CTexploreR,102,87
Chang 2019 · TGCT,daSilva2017_protein,72,46
Chang 2019 · TGCT,placental_antigen,0,0
Carter 2023,Wang 2016,82,67
Carter 2023,Bruggeman 2018,15,12
Carter 2023,da Silva 2017 · CT,73,63
