cancer_code,value_mut_mb,statistic,n_samples,reference,source_locator,tmb_assay,source_scope,selection,notes
ADCC,0.31,mean,60,PMID:23685749,"Results; Online Methods, Whole Exome Sequencing Analysis",WES_WGS_nonsynonymous_coding,adenoid_cystic_carcinoma_cohort,alternative_source,Ho 2013 reports approximately 0.31 nonsilent mutations/Mb; Methods give mean 16 nonsynonymous and 6 synonymous mutations per case and 51 Mb exon capture. Do not divide the total mean 22 by 51 to reconstruct nonsilent TMB. Separate from selected Chalmers median 1.8 in 184 panel specimens.
NEC_LUNG_LARGECELL,8.6,mean,60,PMID:29535388,"Results, Genomic alterations; Figure 1a; Supplementary Data 1",WES_WGS_nonsynonymous_exonic,large_cell_neuroendocrine_lung_cohort,alternative_source,"George 2018 reports average exonic rate 8.6 nonsynonymous mutations/Mb. Sequencing subset n=60: 55 WES and 11 WGS with 6 overlapping; not all 75 study patients. Separate from selected Chalmers panel median 9.9, n=288."
LUAD_EGFR,3.8,median,383,PMID:31086949,"Results, Tumor mutation burden; Methods, Patient cohorts",mixed_WES_panel_nonsynonymous_coding,EGFR_mutant_lung_not_histology_restricted,selected_proxy_median,"Hastings 2019: combined TCGA n=53, Yale n=17, MSK n=313; platform-specific coding denominator. Irrespective of prior therapy. Broad EGFR-mutant lung cohort; does not validate original PMID33846346 or exact LUAD value 3.5. Now also retained in the canonical row as an explicit broader-cohort proxy (#536)."
LUAD_EGFR,5.6,mean,383,PMID:31086949,"Results, Tumor mutation burden; Methods, Patient cohorts",mixed_WES_panel_nonsynonymous_coding,EGFR_mutant_lung_not_histology_restricted,selected_proxy_cohort_mean,Mean from the same cohort as median 3.8; neither value establishes a uniform LUAD allele or treatment-specific population. Now also retained in the canonical row as an explicit broader-cohort proxy (#536).
CTCL,3.5,median,67,PMID:38513135,"Results, Genomic landscape of MF; Methods, Patient samples and Sequencing analysis",WES_SNV_indel_tumor_only_filter,mycosis_fungoides_samples,selected_subtype_proxy,"67 samples from 48 patients, including repeat samples; not 67 independent patients and not all CTCL. Does not support original 3.0 with unrelated PMID33574607. Now also retained in the canonical row as an explicit MF proxy (#536)."
CTCL,2.75,mean,37,DOI:10.1038/ng.3444,"Results, Somatic mutations; Supplementary Figure 3",WES_nonsynonymous_coding,sezary_syndrome,context_source,"Wang 2015 Sezary discovery cohort; average total mutation rate 3.85/Mb, nonsynonymous rate 2.75/Mb. Not an all-CTCL median."
HL,50.5,median,59,PMID:39992429,"Results, Genomic landscape of cHL; Figure 1",NovoPM_2_0_targeted_panel,selected_cHL_longitudinal_samples,context_source,"59 samples from 44 cases: 20 responder, 26 relapsed, 13 primary-refractory samples. NovoPM 2.0 panel targets coding exons of 484 genes; 450 genes had mutations. Repeated samples and selected disease-course groups; not an independent-patient general HL WES estimate. Reported value retained without assay harmonization."
HL,61.19,mean,59,PMID:39992429,"Results, Genomic landscape of cHL; Figure 1",NovoPM_2_0_targeted_panel,selected_cHL_longitudinal_samples,context_source,"59 samples from 44 cases: 20 responder, 26 relapsed, 13 primary-refractory samples. NovoPM 2.0 panel targets coding exons of 484 genes; 450 genes had mutations. Repeated samples and selected disease-course groups; not an independent-patient general HL WES estimate. Reported value retained without assay harmonization."
NBL,0.5952509,sample_recomputed_median,240,PMID:23334666,"Supplementary Table 1, Master_Table; MYCNamp column J and Total per Mb column BA; rows 3-242",WES_WGS_total_exonic_including_synonymous,high_risk_all_high_risk,context_source,"Computed from source-hashed individual rates; includes all valid cases in each group, excluding MYCN status 9 only from subgroups. Full precision is computational, not measurement precision."
NBL,0.7357239735,sample_recomputed_mean,240,PMID:23334666,"Supplementary Table 1, Master_Table; MYCNamp column J and Total per Mb column BA; rows 3-242",WES_WGS_total_exonic_including_synonymous,high_risk_all_high_risk,context_source,"Computed from source-hashed individual rates; includes all valid cases in each group, excluding MYCN status 9 only from subgroups. Full precision is computational, not measurement precision."
NBL,0.47560979999999997,sample_recomputed_median,240,PMID:23334666,"Supplementary Table 1, Master_Table; MYCNamp column J and Nonsilent per Mb column BB; rows 3-242",WES_WGS_nonsilent_callable_exonic,high_risk_all_high_risk,context_source,"Computed from source-hashed individual rates; includes all valid cases in each group, excluding MYCN status 9 only from subgroups. Full precision is computational, not measurement precision."
NBL,0.5761167093333334,sample_recomputed_mean,240,PMID:23334666,"Supplementary Table 1, Master_Table; MYCNamp column J and Nonsilent per Mb column BB; rows 3-242",WES_WGS_nonsilent_callable_exonic,high_risk_all_high_risk,context_source,"Computed from source-hashed individual rates; includes all valid cases in each group, excluding MYCN status 9 only from subgroups. Full precision is computational, not measurement precision."
NBL_MYCNamp,0.52487261,sample_recomputed_median,77,PMID:23334666,"Supplementary Table 1, Master_Table; MYCNamp column J and Total per Mb column BA; rows 3-242",WES_WGS_total_exonic_including_synonymous,high_risk_MYCNamp,context_source,"Computed from source-hashed individual rates; includes all valid cases in each group, excluding MYCN status 9 only from subgroups. Full precision is computational, not measurement precision."
NBL_MYCNamp,0.6862664575324675,sample_recomputed_mean,77,PMID:23334666,"Supplementary Table 1, Master_Table; MYCNamp column J and Total per Mb column BA; rows 3-242",WES_WGS_total_exonic_including_synonymous,high_risk_MYCNamp,context_source,"Computed from source-hashed individual rates; includes all valid cases in each group, excluding MYCN status 9 only from subgroups. Full precision is computational, not measurement precision."
NBL_MYCNamp,0.4330966,sample_recomputed_median,77,PMID:23334666,"Supplementary Table 1, Master_Table; MYCNamp column J and Nonsilent per Mb column BB; rows 3-242",WES_WGS_nonsilent_callable_exonic,high_risk_MYCNamp,context_source,"Computed from source-hashed individual rates; includes all valid cases in each group, excluding MYCN status 9 only from subgroups. Full precision is computational, not measurement precision."
