cancer_code,source_disease_label,n_specimens,median_tmb_mut_mb,source_locator,source_url,source_sha256
ACC,adrenal gland cortical carcinoma,204,2.7,Sheet1!A88:C88,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
CHOL,liver cholangiocarcinoma,1456,2.5,Sheet1!A103:C103,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
KIRP,kidney renal papillary carcinoma,152,2.7,Sheet1!A83:C83,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
LIHC,liver hepatocellular carcinoma (hcc),602,3.6,Sheet1!A57:C57,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
MESO,pleura mesothelioma,414,1.8,Sheet1!A136:C136,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
PAAD,pancreas ductal adenocarcinoma,2483,1.8,Sheet1!A129:C129,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
THCA,thyroid papillary carcinoma,350,1.8,Sheet1!A132:C132,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
THYM,thymus thymoma (nos),108,1.3,Sheet1!A160:C160,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
THYMCA,thymus carcinoma (nos),168,2.5,Sheet1!A100:C100,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
UCS,uterus carcinosarcoma,245,3.6,Sheet1!A48:C48,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
STAD,stomach adenocarcinoma intestinal type,58,5,Sheet1!A30:C30,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
MDS,bone marrow myelodysplastic syndrome (mds),513,0.8,Sheet1!A168:C168,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
MPN,bone marrow myeloproliferative neoplasm (mpn),138,0.8,Sheet1!A166:C166,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
SARC_MPNST,soft tissue malignant peripheral nerve sheath tumor (mpnst),134,2.5,Sheet1!A109:C109,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
BCC,skin basal cell carcinoma,92,47.3,Sheet1!A2:C2,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
cSCC,skin squamous cell carcinoma (scc),266,45.2,Sheet1!A3:C3,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
NEC_LUNG_LARGECELL,lung large cell neuroendocrine carcinoma,288,9.9,Sheet1!A9:C9,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
PENSCC,penis squamous cell carcinoma (scc),60,4.5,Sheet1!A39:C39,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
MCL,lymph node lymphoma mantle cell,75,3.3,Sheet1!A68:C68,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
MTC,thyroid medullary carcinoma,96,1.8,Sheet1!A124:C124,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
ACINIC,salivary gland acinic cell tumor,81,1.8,Sheet1!A122:C122,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
ADCC,salivary gland adenoid cystic carcinoma,184,1.8,Sheet1!A128:C128,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
VSCC,vulva squamous cell carcinoma (scc),72,5.2,Sheet1!A29:C29,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
ANSC,anus squamous cell carcinoma (scc),232,5.4,Sheet1!A24:C24,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
SARC_CHON,bone chondrosarcoma,93,1.7,Sheet1!A146:C146,https://static-content.springer.com/esm/art%3A10.1186%2Fs13073-017-0424-2/MediaObjects/13073_2017_424_MOESM3_ESM.xlsx,375412b34872b2ffae0d9b1cad0dfed812f4607e73dde669093a8ab935109da5
