cancer_code,legacy_value,legacy_reference,original_source_assessment,outcome,replacement_median,replacement_n,replacement_reference,replacement_locator,replacement_assay,reviewed_sources,decision_notes,replacement_value,replacement_statistic
UVM,0.34,DOI:10.21037/atm.2019.09.49,DOI identifies a lung-radiotherapy article; not a uveal-melanoma TMB source.,restored_same_value_new_source,0.34,80,PMID:31930041,"Table 1, UVM; Methods, TMB and indel burden",WES_nonsynonymous_coding,https://pubmed.ncbi.nlm.nih.gov/31930041/,"TCGA MC3 UVM cohort; median 0.34 (IQR 0.26-0.45) mut/Mb, n=80. Nonsynonymous coding substitutions and indels divided by 38 Mb. Restores the old number with the correct source DOI 10.21037/atm.2019.10.116.",0.34,median
SARC_CHON,0.9,PMID:40117529,"PMID40117529 reports separate conventional, dedifferentiated and mesenchymal histology medians; no pooled median of 0.9 is established.",replacement_cohort_median,1.7,93,PMID:28420421,Additional file 3 Table S1; Sheet1!A146:C146; bone chondrosarcoma,targeted_panel_coding_including_synonymous,https://pubmed.ncbi.nlm.nih.gov/28420421/,"Chalmers Additional file 3 Table S1: bone chondrosarcoma; 93 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB. Bone cohort only; separate soft-tissue cohort n=124 also has median 1.7; no patient-level pooled median calculated.",1.7,median
RB,0.085,PMID:33670346,"PMID33670346 reports an average substitution density of 0.085/Mb, not a population median.",restored_as_published_mean,,21,PMID:33670346,Results 2.2; Figure 1,WGS_genome_wide_substitutions,https://pmc.ncbi.nlm.nih.gov/articles/PMC7918943/,Published mean genome-wide substitution density 0.085/Mb in 21 retinoblastomas (average 275 substitutions per tumor). WGS substitutions only; excludes indels and is not nonsynonymous coding TMB. No population median reported.,0.085,mean
MCL,1.0,PMID:23770587,"The cited PMID23770587 concerns MeCP2 regulation, not mantle-cell lymphoma.",replacement_cohort_median,3.3,75,PMID:28420421,Additional file 3 Table S1; Sheet1!A68:C68; lymph node lymphoma mantle cell,targeted_panel_coding_including_synonymous,https://pubmed.ncbi.nlm.nih.gov/28420421/,"Chalmers Additional file 3 Table S1: lymph node lymphoma mantle cell; 75 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",3.3,median
HL,2.0,PMID:30108156,"PMID30108156 reports clinical-panel TMB in 34 patients, including 23 with TMB >=6; it does not support the approximate WES median of 2.0.",gap_retained,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6369943/;https://pmc.ncbi.nlm.nih.gov/articles/PMC6963251/,"Original clinical-panel cohort does not support WES median 2.0. Flow-sorted HRS WES provides better genomic evidence, but an exact full-cohort median was not recovered here. Do not infer uniformly low TMB.",,
CTCL,3.0,PMID:33574607,"The cited PMID33574607 is a general intratumoral-heterogeneity review, not the attributed CTCL cohort.",gap_retained,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9148441/,"Original PMID is a general heterogeneity review. Better primary WES study profiles transformed CTCL; 290 is a mutation count per sample, not per-Mb TMB, and the transformed subset cannot stand for all CTCL.",,
MTC,1.0,PMID:31605946,"Legacy value 1.0 removed: no supported population median with a reproducible per-Mb denominator curated. Sporadic medullary thyroid; single-driver RET/RAS; ~1 mut/Mb inferred from panel (148 cases, 89% single-mutation).",replacement_cohort_median,1.8,96,PMID:28420421,Additional file 3 Table S1; Sheet1!A124:C124; thyroid medullary carcinoma,targeted_panel_coding_including_synonymous,https://pubmed.ncbi.nlm.nih.gov/28420421/,"Chalmers Additional file 3 Table S1: thyroid medullary carcinoma; 96 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",1.8,median
ADCC,0.31,PMID:23685749,"PMID23685749 reports a mean of 22 mutations per sample and approximately 0.31 nonsilent mutations/Mb, not a median.",replacement_cohort_median,1.8,184,PMID:28420421,Additional file 3 Table S1; Sheet1!A128:C128; salivary gland adenoid cystic carcinoma,targeted_panel_coding_including_synonymous,https://pubmed.ncbi.nlm.nih.gov/28420421/,"Chalmers Additional file 3 Table S1: salivary gland adenoid cystic carcinoma; 184 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB. Original 0.31 recovered as a published mean in the alternative-estimates ledger; separate WES/WGS cohort n=60, not a mean from this panel cohort.",1.8,median
NUTM,1.0,PMID:31180909,PMID31180909 is a three-case study with individual tumor rates; it does not establish a representative median of 1.0.,restored_same_value_new_source,1.0,71,PMID:40704901,Abstract Results; molecular characterization of the registry cohort,heterogeneous_clinical_panels,https://pubmed.ncbi.nlm.nih.gov/40704901/,"NUT carcinoma registry: median 1.0 mut/Mb (range 0-16) among 71 with known TMB, from 116 total patients. Heterogeneous clinical NGS assays; replaces unsupported attribution to a three-case series.",1.0,median
BRCA_Normal,1.0,PMID:23000897,TCGA-Breast excluded the eight normal-like samples from subsequent subtype analyses; no normal-like median of 1.0 was established.,gap_retained,,,,,,https://pubmed.ncbi.nlm.nih.gov/23000897/,TCGA excluded eight normal-like samples from subsequent subtype analyses; no replacement PAM50-normal-like median validated.,,
VSCC,5.6,PMID:29328067,"The cited PMID29328067 concerns retinal microvasculature, not vulvar-cancer TMB.",replacement_cohort_median,5.2,72,PMID:28420421,Additional file 3 Table S1; Sheet1!A29:C29; vulva squamous cell carcinoma (scc),targeted_panel_coding_including_synonymous,https://pubmed.ncbi.nlm.nih.gov/28420421/,"Chalmers Additional file 3 Table S1: vulva squamous cell carcinoma (scc); 72 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",5.2,median
ANSC,5.0,PMID:29133614,"The cited PMID29133614 concerns cardiac-arrest prognosis, not anal-cancer TMB.",replacement_cohort_median,5.4,232,PMID:28420421,Additional file 3 Table S1; Sheet1!A24:C24; anus squamous cell carcinoma (scc),targeted_panel_coding_including_synonymous,https://pubmed.ncbi.nlm.nih.gov/28420421/,"Chalmers Additional file 3 Table S1: anus squamous cell carcinoma (scc); 232 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",5.4,median
NBL_MYCNamp,0.6,PMID:30307503,The cited paper discusses an overall neuroblastoma median around 0.6 exonic mut/Mb and uses coding mutation counts for its own outcome analysis; it does not provide separate MYCN-stratified per-Mb medians.,gap_retained,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6624164/,"The cited paper mentions overall neuroblastoma median approximately 0.6 exonic mut/Mb, not a MYCN-amplified median. Retain subgroup gap.",,
NBL_MYCNnonamp,0.6,PMID:30307503,The cited paper discusses an overall neuroblastoma median around 0.6 exonic mut/Mb and uses coding mutation counts for its own outcome analysis; it does not provide separate MYCN-stratified per-Mb medians.,gap_retained,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6624164/,"The cited paper mentions overall neuroblastoma median approximately 0.6 exonic mut/Mb, not a MYCN-nonamplified median. Retain subgroup gap.",,
LUAD_EGFR,3.5,PMID:33846346,"The cited PMID33846346 concerns RIG-I/XRCC4, not an EGFR-mutant lung cohort median.",gap_retained,,,,,,https://pubmed.ncbi.nlm.nih.gov/30964529/;https://pmc.ncbi.nlm.nih.gov/articles/PMC6683857/;https://pubmed.ncbi.nlm.nih.gov/30045933/,"Better primary cohorts exist: EGFR-altered NSCLC median 3.5 (Singal 2019); EGFR-mutant lung median 3.8, n=383 (Hastings 2019); metastatic exon19del/L858R median 3.77, n=153 (Offin 2019). Broader histology or narrower allele/setting scope needs an explicit proxy policy before assigning a general LUAD_EGFR median.",,
HCL,0.2,PMID:22072557,"Legacy value 0.2 removed: no supported population median with a reproducible per-Mb denominator curated. Hairy cell leukemia; BRAF V600E-driven, genomically near-silent (~5 somatic mutations, WES n=1).",gap_retained,,,,,,https://pubmed.ncbi.nlm.nih.gov/22072557/,Original BRAF paper and a one-case mutation-count inference do not establish a population median of 0.2/Mb. No replacement per-Mb median validated.,,
ACINIC,2.6,PMID:28961851,"The originally cited PMID28961851 reports acinic genomic alterations per tumor and the proportion with TMB >10 mut/Mb, not a median of 2.6/Mb. The prior audit phrasing that no published median exists was too broad.",replacement_cohort_median,1.8,81,PMID:28420421,Additional file 3 Table S1; Sheet1!A122:C122; salivary gland acinic cell tumor,targeted_panel_coding_including_synonymous,https://pubmed.ncbi.nlm.nih.gov/28420421/,"Chalmers Additional file 3 Table S1: salivary gland acinic cell tumor; 81 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",1.8,median
UCEC_POLE,100,PMID:23636398,"The legacy 100 mut/Mb was an order-of-magnitude estimate, not a reproducible population median from TCGA 2013.",replacement_cohort_median,150.8,61,PMID:39865420,"Results, group A; Figure 1B; Methods, Molecular subtyping",targeted_panel_TSO500,https://pubmed.ncbi.nlm.nih.gov/39865420/,"Median 150.8 mut/Mb in 61 endometrial cancers with one of 11 pathogenic POLE hotspot variants; TSO500 tumor-only 523-gene panel. Includes 16 multiple-classifier tumors; not unselected POLE VUS. A genomic cohort, not an ICI response trial.",150.8,median
UCEC_CNL,2.5,PMID:23636398,"TCGA reports a subgroup mutation rate of 2.9, not the curated median of 2.5; no reproducible median calculation is curated.",gap_retained,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3704730/,"TCGA reports subgroup mutation rate 2.9, not the curated median 2.5. Molecular-class-specific sample-level recalculation remains needed; IHC NSMP is not automatically the original TCGA copy-number-low class.",,
UCEC_CNH,2.8,PMID:23636398,"TCGA reports a subgroup mutation rate of 2.3, not the curated median of 2.8; no reproducible median calculation is curated.",gap_retained,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3704730/,"TCGA reports subgroup mutation rate 2.3, not the curated median 2.8. Molecular-class-specific sample-level recalculation remains needed; p53-abnormal IHC is not automatically the original TCGA copy-number-high class.",,
