cancer_code,fusion_family,gene_5prime,gene_3prime,pmid,pubmed_title,publication_year,supports_fusion_or_alteration,supports_disease_context,reviewed_on
SARC_EWS,EWSR1-ETS,EWSR1,FLI1,PMID:1522903,Gene fusion with an ETS DNA-binding domain caused by chromosome translocation in human tumours.,1992,true,true,2026-07-17
SARC_EWS,EWSR1-ETS,EWSR1,ERG,PMID:8162068,"A second Ewing's sarcoma translocation, t(21;22), fuses the EWS gene to another ETS-family transcription factor, ERG.",1994,true,true,2026-07-17
SARC_EWS,EWSR1-ETS,EWSR1,ETV1,PMID:7700648,A variant Ewing's sarcoma translocation (7;22) fuses the EWS gene to the ETS gene ETV1.,1995,true,true,2026-07-17
SARC_EWS,EWSR1-ETS,EWSR1,ETV4,PMID:9858836,The genomic breakpoint and chimeric transcripts in the EWSR1-ETV4/E1AF gene fusion in Ewing sarcoma.,1998,true,true,2026-07-17
SARC_EWS,EWSR1-ETS,EWSR1,FEV,PMID:31756779,Ewing sarcoma with FEV gene rearrangements is a rare subset with predilection for extraskeletal locations and aggressive behavior.,2020,true,true,2026-07-17
SARC_EWS,FUS-ETS,FUS,ERG,PMID:12907633,FUS/ERG gene fusions in Ewing's tumors.,2003,true,true,2026-07-17
SARC_SYN,SS18-SSX,SS18,SSX1,PMID:7951320,"Identification of novel genes, SYT and SSX, involved in the t(X;18)(p11.2;q11.2) translocation found in human synovial sarcoma.",1994,true,true,2026-07-17
SARC_SYN,SS18-SSX,SS18,SSX2,PMID:7951320,"Identification of novel genes, SYT and SSX, involved in the t(X;18)(p11.2;q11.2) translocation found in human synovial sarcoma.",1994,true,true,2026-07-17
SARC_SYN,SS18-SSX,SS18,SSX4,PMID:11368913,"Cloning and characterization of spliced fusion transcript variants of synovial sarcoma: SYT/SSX4, SYT/SSX4v, and SYT/SSX2v. Possible regulatory role of the fusion gene product in wild type SYT expression.",2001,true,true,2026-07-17
SARC_DSRCT,EWSR1-WT1,EWSR1,WT1,PMID:7862627,Characterization of the genomic breakpoint and chimeric transcripts in the EWS-WT1 gene fusion of desmoplastic small round cell tumor.,1995,true,true,2026-07-17
SARC_ASPS,ASPSCR1-TFE3,ASPSCR1,TFE3,PMID:17543078,Detection of the ASPSCR1-TFE3 gene fusion in paraffin-embedded alveolar soft part sarcomas.,2007,true,true,2026-07-17
SARC_CCS,EWSR1-ATF1,EWSR1,ATF1,PMID:19561568,Detection and characterization of EWSR1/ATF1 and EWSR1/CREB1 chimeric transcripts in clear cell sarcoma (melanoma of soft parts).,2009,true,true,2026-07-17
SARC_CCS,EWSR1-CREB1,EWSR1,CREB1,PMID:19561568,Detection and characterization of EWSR1/ATF1 and EWSR1/CREB1 chimeric transcripts in clear cell sarcoma (melanoma of soft parts).,2009,true,true,2026-07-17
SARC_IFS,ETV6-NTRK3,ETV6,NTRK3,PMID:9462753,A novel ETV6-NTRK3 gene fusion in congenital fibrosarcoma.,1998,true,true,2026-07-17
SARC_EHE,WWTR1-CAMTA1,WWTR1,CAMTA1,PMID:21885404,Identification of a disease-defining gene fusion in epithelioid hemangioendothelioma.,2011,true,true,2026-07-17
SARC_EHE,YAP1-TFE3,YAP1,TFE3,PMID:23737213,Novel YAP1-TFE3 fusion defines a distinct subset of epithelioid hemangioendothelioma.,2013,true,true,2026-07-17
SARC_LGFMS,FUS-CREB3L2,FUS,CREB3L2,PMID:15139001,The chimeric FUS/CREB3l2 gene is specific for low-grade fibromyxoid sarcoma.,2004,true,true,2026-07-17
SARC_LGFMS,FUS-CREB3L1,FUS,CREB3L1,PMID:15640831,"Clinicopathologic and molecular genetic characterization of low-grade fibromyxoid sarcoma, and cloning of a novel FUS/CREB3L1 fusion gene.",2005,true,true,2026-07-17
SARC_LGFMS,EWSR1-CREB3L1,EWSR1,CREB3L1,PMID:23588368,EWSR1-CREB3L1 gene fusion: a novel alternative molecular aberration of low-grade fibromyxoid sarcoma.,2013,true,true,2026-07-17
SARC_EMC,EWSR1-NR4A3,EWSR1,NR4A3,PMID:18855877,The EWSR1/NR4A3 fusion protein of extraskeletal myxoid chondrosarcoma activates the PPARG nuclear receptor gene.,2009,true,true,2026-07-17
SARC_EMC,TAF15-NR4A3,TAF15,NR4A3,PMID:24746215,Extraskeletal myxoid chondrosarcoma with non-EWSR1-NR4A3 variant fusions correlate with rhabdoid phenotype and high-grade morphology.,2014,true,true,2026-07-17
SARC_EMC,TCF12-NR4A3,TCF12,NR4A3,PMID:24746215,Extraskeletal myxoid chondrosarcoma with non-EWSR1-NR4A3 variant fusions correlate with rhabdoid phenotype and high-grade morphology.,2014,true,true,2026-07-17
SARC_SFT,NAB2-STAT6,NAB2,STAT6,PMID:23313952,Identification of recurrent NAB2-STAT6 gene fusions in solitary fibrous tumor by integrative sequencing.,2013,true,true,2026-07-17
SARC_IMT,TPM3-ALK,TPM3,ALK,PMID:10934142,TPM3-ALK and TPM4-ALK oncogenes in inflammatory myofibroblastic tumors.,2000,true,true,2026-07-17
SARC_IMT,TPM4-ALK,TPM4,ALK,PMID:10934142,TPM3-ALK and TPM4-ALK oncogenes in inflammatory myofibroblastic tumors.,2000,true,true,2026-07-17
SARC_IMT,EML4-ALK,EML4,ALK,PMID:24277751,Pulmonary inflammatory myofibroblastic tumor harboring EML4-ALK fusion gene.,2014,true,true,2026-07-17
SARC_IMT,RANBP2-ALK,RANBP2,ALK,PMID:24034896,Inflammatory myofibroblastic tumor with RANBP2 and ALK gene rearrangement: a report of two cases and literature review.,2013,true,true,2026-07-17
SARC_IMT,CARS1-ALK,CARS1,ALK,PMID:13679433,Identification of CARS-ALK fusion in primary and metastatic lesions of an inflammatory myofibroblastic tumor.,2003,true,true,2026-07-17
SARC_IMT,ETV6-NTRK3,ETV6,NTRK3,PMID:26647767,"ALK, ROS1 and NTRK3 gene rearrangements in inflammatory myofibroblastic tumours.",2016,true,true,2026-07-17
SARC_IMT,TFG-ROS1,TFG,ROS1,PMID:26647767,"ALK, ROS1 and NTRK3 gene rearrangements in inflammatory myofibroblastic tumours.",2016,true,true,2026-07-17
SARC_DFSP,COL1A1-PDGFB,COL1A1,PDGFB,PMID:31949795,COL1A1-PDGFB gene fusion in dermatofibrosarcoma protuberans: a useful diagnostic tool and clinicopathological analysis.,2018,true,true,2026-07-17
SARC_MYXLPS,FUS-DDIT3,FUS,DDIT3,PMID:16651630,The myxoid/round cell liposarcoma fusion oncogene FUS-DDIT3 and the normal DDIT3 induce a liposarcoma phenotype in transfected human fibrosarcoma cells.,2006,true,true,2026-07-17
SARC_MYXLPS,EWSR1-DDIT3,EWSR1,DDIT3,PMID:17647282,Relevance of translocation type in myxoid liposarcoma and identification of a novel EWSR1-DDIT3 fusion.,2007,true,true,2026-07-17
SARC_PEC,SFPQ-TFE3,SFPQ,TFE3,PMID:40239600,SFPQ::TFE3-rearranged PEComa: Differences and analogies with renal cell carcinoma carrying the same translocation.,2025,true,true,2026-07-17
SARC_PEC,DVL2-TFE3,DVL2,TFE3,PMID:25651471,Dichotomy of Genetic Abnormalities in PEComas With Therapeutic Implications.,2015,true,true,2026-07-17
SARC_RMS_ARMS,PAX3-FOXO1,PAX3,FOXO1,PMID:8275086,Fusion of a fork head domain gene to PAX3 in the solid tumour alveolar rhabdomyosarcoma.,1993,true,true,2026-07-17
SARC_RMS_ARMS,PAX7-FOXO1,PAX7,FOXO1,PMID:8187070,Fusion of PAX7 to FKHR by the variant t(1;13)(p36;q14) translocation in alveolar rhabdomyosarcoma.,1994,true,true,2026-07-17
SARC_RMS_SSRMS,VGLL2-NCOA2,VGLL2,NCOA2,PMID:26501226,A Molecular Study of Pediatric Spindle and Sclerosing Rhabdomyosarcoma: Identification of Novel and Recurrent VGLL2-related Fusions in Infantile Cases.,2016,true,true,2026-07-17
SARC_RMS_SSRMS,TEAD1-NCOA2,TEAD1,NCOA2,PMID:26501226,A Molecular Study of Pediatric Spindle and Sclerosing Rhabdomyosarcoma: Identification of Novel and Recurrent VGLL2-related Fusions in Infantile Cases.,2016,true,true,2026-07-17
SARC_CHON_MESENCHYMAL,HEY1-NCOA2,HEY1,NCOA2,PMID:22034177,"Identification of a novel, recurrent HEY1-NCOA2 fusion in mesenchymal chondrosarcoma based on a genome-wide screen of exon-level expression data.",2012,true,true,2026-07-17
SARC_CHON_MESENCHYMAL,IRF2BP2-CDX1,IRF2BP2,CDX1,PMID:23185413,Whole-transcriptome sequencing identifies novel IRF2BP2-CDX1 fusion gene brought about by translocation t(1;5)(q42;q32) in mesenchymal chondrosarcoma.,2012,true,true,2026-07-17
SARC_ESS_LG,JAZF1-SUZ12,JAZF1,SUZ12,PMID:16049311,JAZF1/JJAZ1 gene fusion in endometrial stromal sarcomas: molecular analysis by reverse transcriptase-polymerase chain reaction optimized for paraffin-embedded tissue.,2005,true,true,2026-07-17
SARC_ESS_LG,JAZF1-PHF1,JAZF1,PHF1,PMID:16397222,Consistent rearrangement of chromosomal band 6p21 with generation of fusion genes JAZF1/PHF1 and EPC1/PHF1 in endometrial stromal sarcoma.,2006,true,true,2026-07-17
SARC_ESS_LG,EPC1-PHF1,EPC1,PHF1,PMID:16397222,Consistent rearrangement of chromosomal band 6p21 with generation of fusion genes JAZF1/PHF1 and EPC1/PHF1 in endometrial stromal sarcoma.,2006,true,true,2026-07-17
SARC_ESS_HG,YWHAE-NUTM2A,YWHAE,NUTM2A,PMID:22456610,The clinicopathologic features of YWHAE-FAM22 endometrial stromal sarcomas: a histologically high-grade and clinically aggressive tumor.,2012,true,true,2026-07-17
SARC_ESS_HG,YWHAE-NUTM2B,YWHAE,NUTM2B,PMID:22456610,The clinicopathologic features of YWHAE-FAM22 endometrial stromal sarcomas: a histologically high-grade and clinically aggressive tumor.,2012,true,true,2026-07-17
SARC_ESS_HG,ZC3H7B-BCOR,ZC3H7B,BCOR,PMID:23580382,Fusion of the ZC3H7B and BCOR genes in endometrial stromal sarcomas carrying an X;22-translocation.,2013,true,true,2026-07-17
LAML,RUNX1-RUNX1T1,RUNX1,RUNX1T1,PMID:31935293,An update on the molecular pathogenesis and potential therapeutic targeting of AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1.,2020,true,true,2026-07-17
LAML,CBFB-MYH11,CBFB,MYH11,PMID:8142642,Detection of fusion transcripts generated by the inversion 16 chromosome in acute myelogenous leukemia.,1994,true,true,2026-07-17
LAML,KMT2A-MLLT3,KMT2A,MLLT3,PMID:15188459,Cryptic insertion of MLL gene into 9p22 leads to MLL-MLLT3 (AF9) fusion in a case of acute myelogenous leukemia.,2004,true,true,2026-07-17
LAML,KMT2A-MLLT10,KMT2A,MLLT10,PMID:9305618,A novel MLL-AF10 fusion mRNA variant in a patient with acute myeloid leukemia detected by a new asymmetric reverse transcription PCR method.,1997,true,true,2026-07-17
LAML,KMT2A-ELL,KMT2A,ELL,PMID:26949571,Rare MLL-ELL fusion transcripts in childhood acute myeloid leukemia-association with young age and myeloid sarcomas?,2015,true,true,2026-07-17
LAML,KMT2A-MLLT1,KMT2A,MLLT1,PMID:16875930,"Establishment of a myeloid leukemia cell line, TRL-01, with MLL-ENL fusion gene.",2006,true,true,2026-07-17
LAML,DEK-NUP214,DEK,NUP214,PMID:32526729,Acute Myeloid Leukemia with t(6;9)(p23;q34.1); DEK-NUP214: The Pathogenesis and Potential.,2020,true,true,2026-07-17
