estimate_id,cancer_code,regimen,role,drug,trial_name,trial_alias,trial_nct,ref,source_locator,source_locator_status,source_endpoint_label,source_population_label,setting,source_n,metric,value,value_status,unit,ci_low,ci_low_status,ci_high,ci_high_status,ci_basis,timepoint,metric_n,responders,note,source_verified,value_basis
ICI-9593cb18be-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,ORR,14,numeric,percent,,not_extracted,,not_extracted,not_extracted,,21,3,3/21 confirmed PR by RECIST v1.1; matches table 14%,True,reported
ICI-3fbfdb14f2-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,IRORR,19,numeric,percent,,not_extracted,,not_extracted,not_extracted,,21,4,immune-related ORR (iORR) 4/21; matches table iORR 19%,True,reported
ICI-cf2834da47-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,CBR,24,numeric,percent,,not_extracted,,not_extracted,not_extracted,,21,5,clinical benefit rate by RECIST (response or SD>6 months) = 5/21,True,reported
ICI-3cd8dbda4b-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,IRCBR,33,numeric,percent,,not_extracted,,not_extracted,not_extracted,,21,7,immune-related CBR (iCBR) = 7/21,True,reported
ICI-093ba1859e-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,PFS,1.8,numeric,months,1.7,numeric,7.1,numeric,reported,median,21,,median PFS 1.8 months (95% CI 1.7 to 7.1),True,reported
ICI-0d56b8bd7a-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,OS,15.8,numeric,months,6.6,numeric,28.9,numeric,reported,median,21,,median OS 15.8 months (95% CI 6.6 to 28.9),True,reported
ICI-741bacb100-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,PFS_RATE,24,numeric,rate_percent,11,numeric,51,numeric,reported,6-month,21,,6-month PFS rate 24% (95% CI 11% to 51%); CI added on recheck,True,reported
ICI-c9a6b61402-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,PFS_RATE,33,numeric,rate_percent,18,numeric,61,numeric,reported,6-month,21,,6-month iPFS (immune-related) rate 33% (95% CI 18% to 61%); CI added on recheck,True,reported
ICI-90a426d967-01,ACC,PD-1+CTLA-4,primary,nivolumab+ipilimumab,DART/SWOG S1609,,NCT02834013,PMID:39067873,,not_extracted,,,metastatic/refractory adrenocortical carcinoma,21,OS_RATE,76,numeric,rate_percent,60,numeric,97,numeric,reported,6-month,21,,6-month OS rate 76% (95% CI 60% to 97%),True,reported
ICI-1b0fbb70fb-01,SGC,PD-1,primary,pembrolizumab,KEYNOTE-158,MK-3475-158,NCT02628067,PMID:35777186,,not_extracted,,,previously treated advanced salivary gland carcinoma (pan-salivary source-scope estimate),109,ORR,4.6,numeric,percent,1.5,numeric,10.4,numeric,reported,,109,5,"5/109 (1 CR, 4 PR); pan-salivary source-scope estimate for salivary histology lookups; matches table 4.6%; independently verified",True,reported
