cancer_code,subtype,symbol,role,agent,agent_class,phase,treatment_path_tier,line_of_therapy,eligibility_note,indication,rationale,source
PRAD,,AR,biomarker,,,,,,,,Androgen receptor — lineage confirmation; retained expression with collapsed transactivation targets indicates castrate-resistant disease,PMID:22894553
PRAD,,KLK3,biomarker,,,,,,,,PSA — transactivated target of AR; collapse with retained AR indicates CRPC,PMID:25153393
PRAD,,KLK2,biomarker,,,,,,,,Kallikrein 2 — AR-transactivated; parallels KLK3 in CRPC de-differentiation,PMID:25153393
PRAD,,NKX3-1,biomarker,,,,,,,,Prostate lineage transcription factor; lost in NEPC / de-differentiated disease,PMID:35265947
PRAD,,HOXB13,biomarker,,,,,,,,HOXB13 — prostate-lineage transcription factor; germline variants also mark hereditary prostate-cancer risk,PMID:33916521
PRAD,,TMPRSS2,biomarker,,,,,,,,AR-target gene; part of TMPRSS2-ERG fusion landscape,PMID:16254181
PRAD,,ENO2,biomarker,,,,,,,,Neuron-specific enolase — core NE-differentiation marker; elevation with AR-target collapse warrants NEPC workup,PMID:34784097
PRAD,,CHGA,biomarker,,,,,,,,Chromogranin A — NE differentiation marker,PMID:41608640
PRAD,,SYP,biomarker,,,,,,,,Synaptophysin — NE differentiation marker,PMID:31953400
PRAD,,ASCL1,biomarker,,,,,,,,NE lineage transcription factor; active in NEPC,PMID:39264686
PRAD,,INSM1,biomarker,,,,,,,,NE transcription factor; preferred marker over CHGA/SYP in some NEPC panels,PMID:34431104
PRAD,,FOLH1,target,177Lu-PSMA-617,radioligand,approved,approved_later_line,later_line_approved,confirm imaging/eligibility and prior-line requirements,mCRPC,PSMA — lutetium radioligand approved for PSMA-PET positive mCRPC post-ARPI,PMID:34161051
PRAD,,FOLH1,target,225Ac-PSMA-617,radioligand,early_clinical,trial_follow_up,clinical_trial,clinical evidence is limited to small non-randomized cohorts,mCRPC,Experimental PSMA-targeted alpha therapy with early clinical responses,PMID:27390158
PRAD,,STEAP1,target,AMG-509 (xaluritamig),TCE,phase_2,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,mCRPC,STEAP1×CD3 bispecific T-cell engager in mCRPC; encouraging phase 1 responses,PMID:37861461
PRAD,,STEAP2,target,AZD0754,CAR-T,preclinical,preclinical,preclinical,preclinical follow-up; not a clinical recommendation,mCRPC,STEAP2-targeted armored CAR-T therapy showed preclinical activity in prostate-cancer models,PMID:37966111
PRAD,,DLL3,target,tarlatamab,TCE,phase_1,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,NEPC,DLL3×CD3 bispecific studied in the phase 1b DeLLpro-300 trial,PMID:40689871
PRAD,,KLK2,target,pasritamig,bispecific,phase_1,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,mCRPC,KLK2-targeting bispecific in early-phase trials,PMID:40450573
PRAD,,TACSTD2,target,sacituzumab govitecan,ADC,preclinical,preclinical,preclinical,preclinical follow-up; not a clinical recommendation,cerebral mCRPC,Preclinical activity of this Trop-2 ADC was shown in prostate-cancer models,PMID:38895886
PRAD,,AR,target,enzalutamide,small_molecule,approved,approved_standard,standard_or_frontline,confirm indication and line of therapy,mCRPC,Second-generation AR antagonist; standard of care in CRPC,PMID:22894553
PRAD,,AR,target,apalutamide,small_molecule,approved,approved_indication_matched,approved_biomarker_matched,confirm biomarker/indication-specific eligibility,nmCRPC,Approved for non-metastatic CRPC and mHSPC,PMID:29420164
PRAD,,PSCA,biomarker,,,,,,,,Prostate stem cell antigen — PRAD-adenocarcinoma-enriched lineage marker; co-expressed with PSMA / STEAP1 / TROP-2 in AR-retained disease,PMID:15342669
PRAD,,PSCA,target,BPX-601,CAR-T,phase_1,trial_follow_up,clinical_trial,clinical-trial follow-up; not default standard,mCRPC,PSCA-directed autologous CAR-T with rimiducid (GoCAR-T) — early-phase PRAD trial,PMID:39737899
PRAD,,PSCA,target,PSMA-PSCA bispecific,bispecific,preclinical,preclinical,preclinical,preclinical follow-up; not a clinical recommendation,mCRPC,PSMA×PSCA dual-targeting bispecifics in preclinical / early trials — leverage co-expression to narrow on-target / off-tumor toxicity,PMID:34675084
