cancer_code,source_cohort,source_project,source_version,source_pmid,source_type,source_scale_class,linear_tpm_comparable,tumor_origin,metastasis_site,processing_pipeline,notes,n_reference_genes,n_reference_samples,selected
ACC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,77,True
ACINIC,GSE294016_BARTL_2025_SGC,GEO,Bartl 2025 Supplementary Dataset 1 Table 1 diagnosis mapping; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,mixed,,gse294016_bartl_2025_diagnosis_split_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Bartl 2025 salivary-gland cancer bulk RNA-seq panel: 95 matrix rows from 93 RNA-sequenced patients. Supplementary Dataset 1 Table 1 routes ACC to ADCC (n=57, including repeated P-58 and P-77 biopsies) and AciCC to ACINIC (n=3). The remaining 35 adenocarcinoma, BCC, CEPA, MEC, SDC, mesenchymal, and other samples are excluded from histology-specific artifacts. The matrix is transposed (rows = samples, cols = versioned Ensembl IDs).",58951,3,True
ADCC,GSE294016_BARTL_2025_SGC,GEO,Bartl 2025 Supplementary Dataset 1 Table 1 diagnosis mapping; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,,geo-matrix,linear_rnaseq_tpm,True,mixed,,gse294016_bartl_2025_diagnosis_split_tpm_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"Bartl 2025 salivary-gland cancer bulk RNA-seq panel: 95 matrix rows from 93 RNA-sequenced patients. Supplementary Dataset 1 Table 1 routes ACC to ADCC (n=57, including repeated P-58 and P-77 biopsies) and AciCC to ACINIC (n=3). The remaining 35 adenocarcinoma, BCC, CEPA, MEC, SDC, mesenchymal, and other samples are excluded from histology-specific artifacts. The matrix is transposed (rows = samples, cols = versioned Ensembl IDs).",58951,57,True
ATRT,TREEHOUSE_POLYA_25_01,Treehouse,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"13,359 samples × 58,581 genes; matrix is RSEM log2(TPM+1) keyed by HUGO symbol. Builder inverse-transforms to TPM, subsets by `clinical.disease == <label>`, harmonizes HUGO to Ensembl release 112, sums TPM across symbols that collapse to the same ENSG, then applies the canonical 16/9/75 clean-TPM transform. Every measured censored gene receives the same Treehouse PolyA reference composition before stat summarization. Same builder is parameterized for every Treehouse cancer code listed above. Samples with TCGA provenance (~9,500 samples) are extracted from this same file by `scripts/sweep_treehouse_tcga_cohorts.py` and tagged `source_cohort=TREEHOUSE_POLYA_25_01_TCGA_SAMPLES` so a future authoritative GDC build can land alongside without clobbering.",34571,4,True
BCC,GSE125285_BCC_CSCC,GEO,GSE125285; PMID:33997165; unit=nCPM proxy; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1,PMID:33997165,geo-rnaseq-cpm-proxy,bulk_rnaseq_cpm_proxy,False,primary,,gse125285_log2_cpm_inverse_ncpm_proxy_ensembl112_clean_tpm_16_9_75,"Select the 25 diagnosis-confirmed BCC tumors and 10 diagnosis-confirmed cSCC tumors from the 70-sample paired study; retain all 35 matched adjacent normals as explicit exclusions. Invert author log2(CPM+1) and rescale each tumor to nCPM. The result preserves within-sample ranks but lacks gene-length normalization, so it is neither bulk-TPM comparable nor, by itself, classification-ready.",15263,25,True
BL,CGCI_BLGSP,CGCI Burkitt Lymphoma Genome Sequencing Project,"GDC STAR - Counts, GENCODE v36; Ensembl IDs harmonized to Ensembl release 112; queried 2026-05-19; unit=TPM; canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,gdc,linear_rnaseq_tpm,True,primary,,gdc_star_counts_tpm_ensembl112_clean_tpm_16_9_75,Open GDC CGCI-BLGSP STAR-counts TPMs; one deterministic primary Burkitt/Burkitt-like tumor sample per case; source matrix n=184 and released reference artifacts use 182 sample_expression_qc_v3 pass samples.,60279,184,True
BLCA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,407,True
BRCA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,Treehouse (TCGA samples),"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA samples selected by TCGA provenance (released Jan 2025; clinical 20250131v1, TPM matrix 2025-02-27). GSE294351.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,mixed,,treehouse_polya_25_01_tcga_samples_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,"TCGA-only subset of the Treehouse 25.01 PolyA compendium. Samples are selected by matching the Treehouse clinical disease label and requiring `th_dataset_id` to start with `TCGA`. This deliberately excludes GBM/LGG, SARC, and subtype cohorts that require additional cBioPortal, GDC, or histology side tables; those remain source-specific follow-ups under oncoref#296. Uses its own source_cohort so a future authoritative GDC STAR-counts build can coexist without clobbering Treehouse-derived artifacts.",34571,1099,True
BRCA_Basal,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,Treehouse (TCGA-BRCA) x cBioPortal PAM50,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-BRCA subset split by cBioPortal PAM50 subtype calls from brca_tcga_pan_can_atlas_2018. PMID 29625050.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_brca_pam50_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Treehouse carries TCGA-BRCA samples in the parent breast invasive carcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas patient SUBTYPE calls and routes the five PAM50 cohorts separately. It uses a distinct source_cohort from the unsplit BRCA cohort so subtype-derived references remain auditable.,34571,172,True
BRCA_HER2,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,Treehouse (TCGA-BRCA) x cBioPortal PAM50,"Treehouse Childhood Cancer Initiative, Tumor Compendium 25.01 PolyA, TCGA-BRCA subset split by cBioPortal PAM50 subtype calls from brca_tcga_pan_can_atlas_2018. PMID 29625050.; unit=log2(TPM+1); canonicalized with oncoref expression_engine; clean_tpm=16/9/75; clean_tpm_profile=treehouse_polya_25_01_median_v1",,treehouse-compendium,linear_rnaseq_tpm,True,primary,,treehouse_polya_25_01_tcga_brca_pam50_log2_tpm_1_to_tpm_oncoref_canonical_clean_tpm_16_9_75,Treehouse carries TCGA-BRCA samples in the parent breast invasive carcinoma disease bucket. This source joins each TCGA sample barcode prefix to cBioPortal PanCancer Atlas patient SUBTYPE calls and routes the five PAM50 cohorts separately. It uses a distinct source_cohort from the unsplit BRCA cohort so subtype-derived references remain auditable.,34571,77,True
