cancer_code,median_tmb_mut_mb,n_samples,source,pmid_doi,confidence,notes,mean_tmb_mut_mb,estimate_tmb_mut_mb,estimate_statistic
ACC,2.7,204,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: adrenal gland cortical carcinoma; 204 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",,,
BLCA,7.1,,Lawrence 2013,PMID:23770567,high,WES median; APOBEC-driven long tail.,,,
BRCA,1.2,,Lawrence 2013,PMID:23770567,high,WES median; higher in basal/HER2; MSI rare.,,,
CESC,5.0,,Lawrence 2013,PMID:23770567,medium,Cervical squamous; APOBEC + HPV; wide range.,,,
BTC,1.23,803,Lin 2021,PMID:33754015,medium,"Chinese pan-biliary cohort; mixed WES and targeted-panel assays, not solely a panel assay.",,,
CHOL,2.5,1456,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: liver cholangiocarcinoma; 1456 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",,,
COAD,3.1,,Lawrence 2013,PMID:23770567,high,Colon MSS median; MSI-H/POLE subset >40.,,,
DLBC,3.3,,Lawrence 2013,PMID:23770567,high,DLBCL WES median.,,,
ESCA,4.0,,Lawrence 2013,PMID:23770567,medium,ESCC vs EAC differ; range wide.,,,
GBM,2.2,,Lawrence 2013,PMID:23770567,high,WES median; post-temozolomide/MMR-deficient subset hypermutates.,,,
HNSC,3.9,,Lawrence 2013,PMID:23770567,high,WES median; HPV+ vs HPV- differ slightly.,,,
RCC,,,,,none,"Broad renal-cell aggregate intentionally blank: clear-cell, papillary, chromophobe, translocation, and other non-clear histologies have distinct published distributions; use the histology-specific rows.",,,
KICH,0.7,,Chalmers 2017,PMID:28420421,low,Kidney chromophobe; very low; among lowest renal subtypes.,,,
KIRC,1.9,,Lawrence 2013,PMID:23770567,high,Kidney clear cell WES median.,,,
KIRP,2.7,152,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: kidney renal papillary carcinoma; 152 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",,,
LAML,0.4,,Lawrence 2013,PMID:23770567,high,AML WES median; among lowest of all cancers.,,,
LGG,1.0,,Lawrence 2013,PMID:23770567,medium,IDH-mutant low; temozolomide recurrences hypermutate.,,,
LIHC,3.6,602,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: liver hepatocellular carcinoma (hcc); 602 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",,,
NSCLC,8.0,970,Jonna 2021,PMID:33889505,medium,Median 8 in each treatment-naive and treatment-experienced group; 970 annotated specimens in total.,,,
LUAD,8.1,,Lawrence 2013,PMID:23770567,high,Lung adeno WES median; smoking-dependent (never-smokers far lower).,,,
LUSC,9.9,,Lawrence 2013,PMID:23770567,high,Lung squamous WES median; smoking signature.,,,
MESO,1.8,414,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: pleura mesothelioma; 414 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB. Pleural cohort only; peritoneal n=135 also has median 1.8; cohorts are not pooled.",,,
OV,1.7,,Lawrence 2013,PMID:23770567,high,Ovarian serous WES median; HRD/SCNA-driven not SNV.,,,
PAAD,1.8,2483,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: pancreas ductal adenocarcinoma; 2483 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",,,
PCPG,0.5,,Chalmers 2017,PMID:28420421,low,Pheo/paraganglioma; very low; among lowest.,,,
PRAD,0.7,,Lawrence 2013,PMID:23770567,high,Prostate adeno WES median; CDK12/MMR subset higher.,,,
READ,3.1,,Lawrence 2013,PMID:23770567,medium,Treated as colorectal; MSI-H subset much higher.,,,
SKCM,12.9,,Lawrence 2013,PMID:23770567,high,Cutaneous melanoma WES median; UV signature; highest common solid tumor.,,,
STAD,5,58,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: stomach adenocarcinoma intestinal type; 58 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB. Intestinal-type subset only; not an all-histology or MSI-stratified gastric median.",,,
TGCT,0.5,,Chalmers 2017,PMID:28420421,low,Testicular germ cell; very low SNV TMB; aneuploidy-driven.,,,
THCA,1.8,350,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: thyroid papillary carcinoma; 350 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",,,
THYM_EPITHELIAL,,,Schirosi 2022,PMID:35749302,none,"Combined thymic epithelial aggregate intentionally blank: the 274-case targeted-sequencing cohort reports separate medians of 1.92 mut/Mb for thymoma and 3.84 mut/Mb for thymic carcinoma, but no combined median.",,,
THYM,1.3,108,Chalmers 2017,PMID:28420421,medium,"Chalmers Additional file 3 Table S1: thymus thymoma (nos); 108 specimens. Coding targeted-panel TMB includes synonymous substitutions and indels, with driver/germline filtering; not interchangeable with nonsynonymous WES TMB.",,,
UCEC,2.5,,Lawrence 2013,PMID:23770567,high,Endometrioid median; POLE-ultramutated and MSI-H subsets very high.,,,
