cancer_code,source_cohort,n_samples,source_matrix_version
ACC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,77,5.22.10
ACINIC,GSE294016_BARTL_2025_SGC,3,5.22.10
ADCC,GSE294016_BARTL_2025_SGC,57,5.22.10
ATRT,TREEHOUSE_POLYA_25_01,4,5.22.10
BCC,GSE125285_BCC_CSCC,25,5.22.10
BL,CGCI_BLGSP,184,5.22.10
BLCA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,407,5.22.10
BRCA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,1099,5.22.10
BRCA_Basal,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,172,5.22.10
BRCA_HER2,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,77,5.22.10
BRCA_LumA,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,501,5.22.10
BRCA_LumB,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,199,5.22.10
BRCA_Normal,TREEHOUSE_POLYA_25_01_TCGA_BRCA_PAM50,35,5.22.10
BRCA_TNBC,TREEHOUSE_POLYA_25_01_TCGA_BRCA_TNBC,157,5.22.14
B_ALL,TARGET_ALL_2018,154,5.22.10
CESC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,306,5.22.10
CHOL,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,36,5.22.10
CRANIO,OPENPBTA_V23_CBTN_CRANIO,29,5.22.11
DIPG,OPENPBTA_V23_DIPG_H3K27,32,5.22.11
CLL,CLLMAP_2022,708,5.22.10
CML,GSE100026_DING_2017,5,5.22.10
COAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,290,5.22.10
COAD_MSI,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,50,5.22.10
COAD_MSS,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,226,5.22.10
CTCL,GSE171811_ECCITE_CTCL,7,5.22.10
DLBC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,47,5.22.10
ESCA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,182,5.22.10
EPN,GSE141460_GOJO_2020_EPN,11,5.22.10
FL,GSE142334_FL_TFL_2021,6,5.22.10
GBC,GSE139682_GBC,10,5.22.10
GBM,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,166,5.22.10
HEPB,TREEHOUSE_POLYA_25_01,20,5.22.10
HL,GSE120328_LAMPRECHT_2018,5,5.22.10
HCL,ZENODO_14917813_BOHN_2026_HCL,5,5.22.10
HNSC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,520,5.22.10
HNSC_HPVneg,TREEHOUSE_POLYA_25_01_TCGA_HNSC_HPV,415,5.22.10
HNSC_HPVpos,TREEHOUSE_POLYA_25_01_TCGA_HNSC_HPV,72,5.22.10
KICH,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,66,5.22.10
KIRC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,531,5.22.10
KIRP,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,289,5.22.10
LAML,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,173,5.22.10
LAML_APL,BEATAML_OHSU_2022,20,5.22.10
LAML_ELNadv,BEATAML_OHSU_2022,189,5.22.10
LAML_ELNfav,BEATAML_OHSU_2022,238,5.22.10
LAML_ELNint,BEATAML_OHSU_2022,154,5.22.10
LGG,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,523,5.22.10
LIHC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,368,5.22.10
LUAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,515,5.22.10
LUAD_EGFR,TREEHOUSE_POLYA_25_01_TCGA_LUAD_MUT,67,5.22.10
LUAD_KRAS,TREEHOUSE_POLYA_25_01_TCGA_LUAD_MUT,153,5.22.10
LUAD_STK11,TREEHOUSE_POLYA_25_01_TCGA_LUAD_MUT,142,5.22.10
LUSC,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,498,5.22.10
MBL,TREEHOUSE_POLYA_25_01,125,5.22.10
MBL_G3,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,44,5.22.10
MBL_G4,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,39,5.22.10
MBL_SHH,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,25,5.22.10
MBL_WNT,TREEHOUSE_POLYA_25_01_MBL_SUBGROUP_MARKERS,17,5.22.10
MCL,GSE271664_BODOR_2025,51,5.22.10
MDS,GSE114922_SHIOZAWA_2018,82,5.22.10
MENINGIOMA,GSE270638_MENINGIOMA_2024,384,5.22.13
MESO,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,87,5.22.10
MM,MMRF_COMMPASS,764,5.22.10
MPN,GSE283710_WASHU_2024,45,5.22.10
MTC,GSE32662_PRINGLE_2012_MTC,52,5.22.10
NBL,TARGET_NBL_2018,155,5.22.10
NBL_MYCNamp,TARGET_NBL_2018,33,5.22.10
NBL_MYCNnonamp,TARGET_NBL_2018,122,5.22.10
NEC_LUNG_LARGECELL,DRMETRICS_ALCALA_2019_LNEN,69,5.22.10
NEC_MERKEL,GSE235092_MERKEL_2024,91,5.22.10
NET_LUNG,DRMETRICS_ALCALA_2019_LNEN,118,5.22.10
NET_MIDGUT,GSE98894_ALVAREZ_2018_NET,81,5.22.10
NET_PANCREAS,GSE118014_ALVAREZ_2018,33,5.22.10
NET_RECTAL,GSE98894_ALVAREZ_2018_NET,18,5.22.10
NPC,TREEHOUSE_POLYA_25_01,4,5.22.10
NUTM,UNC_NUTM1,3,5.22.10
OV,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,426,5.22.10
PAAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,179,5.22.10
PCPG,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,182,5.22.10
PRAD,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,496,5.22.10
RB,TREEHOUSE_RIBOD_25_01,15,5.22.10
READ,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,93,5.22.10
READ_MSI,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,2,5.22.10
READ_MSS,TREEHOUSE_POLYA_25_01_TCGA_COADREAD_MSI,83,5.22.10
RT,TARGET_RT_2017,63,5.22.10
SARC_ANGIO,TREEHOUSE_POLYA_25_01,20,5.22.10
SARC_ASPS,TREEHOUSE_POLYA_25_01,3,5.22.10
SARC_CCS,GSE248751_HUMAN_CCS_2023,5,5.22.10
SARC_CHON,GSE299759_MEIJER_2026,54,5.22.10
SARC_CHOR,GSE239531_VANOOST_2024,20,5.22.10
SARC_DDLPS,TREEHOUSE_POLYA_25_01_TCGA_SARC_HISTOLOGY,48,5.22.10
SARC_DSRCT,TREEHOUSE_POLYA_25_01,9,5.22.10
SARC_EHE,TREEHOUSE_POLYA_25_01,1,5.22.10
SARC_EPITH,TREEHOUSE_POLYA_25_01,5,5.22.10
SARC_ESS_HG,GSE85383_YOSHIDA_2017_ESS,4,5.22.10
SARC_ESS_LG,GSE85383_YOSHIDA_2017_ESS,9,5.22.10
SARC_EWS,TREEHOUSE_POLYA_25_01,101,5.22.10
SARC_GIST,TREEHOUSE_POLYA_25_01,19,5.22.10
SARC_IFS,TREEHOUSE_POLYA_25_01,2,5.22.10
CMN,GSE11482_GADD_2010_CMN,12,5.22.10
SARC_IMT,TREEHOUSE_POLYA_25_01,4,5.22.10
SARC_KS,GSE241095_KS_SKIN_2023,10,5.22.10
SARC_LGFMS,TREEHOUSE_POLYA_25_01,2,5.22.10
SARC_LMS,TREEHOUSE_POLYA_25_01,151,5.22.10
SARC_LPS_UNSPEC,TREEHOUSE_POLYA_25_01,92,5.22.10
SARC_MMNST,SRP493407_MMNST_2024,3,5.22.10
SARC_MPNST,TREEHOUSE_POLYA_25_01,13,5.22.10
SARC_MYXFIB,TREEHOUSE_POLYA_25_01,41,5.22.10
SARC_MYXLPS,GSE30929_SINGER_2007_LPS,28,5.22.10
SARC_OS,TREEHOUSE_POLYA_25_01,262,5.22.10
SARC_PEC,GSE328026_PECOMA_2026,69,5.22.10
SARC_PLEOLPS,GSE75885_DELESPAUL_2017,4,5.22.10
SARC_RMS_ARMS,TREEHOUSE_POLYA_25_01,73,5.22.10
SARC_RMS_ERMS,TREEHOUSE_POLYA_25_01,95,5.22.10
SARC_RMS_PRMS,TREEHOUSE_POLYA_25_01,6,5.22.10
SARC_RMS_SSRMS,TREEHOUSE_POLYA_25_01,8,5.22.10
SARC_SYN,TREEHOUSE_POLYA_25_01,50,5.22.10
SARC_UPS,TREEHOUSE_POLYA_25_01,110,5.22.10
SARC_WDLPS,TREEHOUSE_POLYA_25_01_TCGA_SARC_HISTOLOGY,5,5.22.10
SCLC,SCLC_UCOLOGNE_2015,81,5.22.10
SCLC_ASCL1,SCLC_UCOLOGNE_2015,61,5.22.10
