alt_haplotype_id,primary_contig_id,symbol,source
ENSG00000002079,ENSG00000293560,MYH16,ensembl_id_history_name
ENSG00000005955,ENSG00000278311,GGNBP2,ensembl_id_history_name
ENSG00000006074,ENSG00000275385,CCL18,ensembl_id_history_name
ENSG00000006075,ENSG00000277632,CCL3,ensembl_id_history_name
ENSG00000006114,ENSG00000275066,SYNRG,ensembl_id_history_name
ENSG00000017373,ENSG00000277363,SRCIN1,ensembl_id_history_name
ENSG00000017621,ENSG00000269313,MAGIX,ensembl_id_history_name
ENSG00000031544,ENSG00000278570,NR2E3,ensembl_id_history_name
ENSG00000034063,ENSG00000276043,UHRF1,ensembl_id_history_name
ENSG00000049319,ENSG00000277893,SRD5A2,ensembl_id_history_name
ENSG00000056661,ENSG00000277258,PCGF2,ensembl_id_history_name
ENSG00000056678,ENSG00000237649,KIFC1,ensembl_alt_contig
ENSG00000068793,ENSG00000273749,CYFIP1,ensembl_id_history_name
ENSG00000073009,ENSG00000269335,IKBKG,ensembl_id_history_name
ENSG00000077809,ENSG00000263001,GTF2I,ensembl_id_history_name
ENSG00000083842,ENSG00000278129,ZNF8,ensembl_id_history_name
ENSG00000087916,ENSG00000268104,SLC6A14,ensembl_id_history_name
ENSG00000090920,ENSG00000275395,FCGBP,ensembl_id_history_name
ENSG00000096150,ENSG00000231500,RPS18,ensembl_alt_contig
ENSG00000096155,ENSG00000204463,BAG6,ensembl_alt_contig
ENSG00000102069,ENSG00000276380,UBE2NL,ensembl_id_history_name
ENSG00000102080,ENSG00000277008,TEX28P2,ensembl_id_history_name
ENSG00000104725,ENSG00000277586,NEFL,ensembl_id_history_name
ENSG00000105663,ENSG00000272333,KMT2B,ensembl_id_history_name
ENSG00000107618,ENSG00000265203,RBP3,ensembl_id_history_name
ENSG00000107623,ENSG00000266524,GDF10,ensembl_id_history_name
ENSG00000108264,ENSG00000276234,TADA2A,ensembl_id_history_name
ENSG00000108270,ENSG00000275700,AATF,ensembl_id_history_name
ENSG00000108272,ENSG00000278535,DHRS11,ensembl_id_history_name
ENSG00000108278,ENSG00000273611,ZNHIT3,ensembl_id_history_name
ENSG00000108292,ENSG00000275023,MLLT6,ensembl_id_history_name
ENSG00000108294,ENSG00000277791,PSMB3,ensembl_id_history_name
ENSG00000108296,ENSG00000273559,CWC25,ensembl_id_history_name
ENSG00000108753,ENSG00000275410,HNF1B,ensembl_id_history_name
ENSG00000110347,ENSG00000262406,MMP12,ensembl_id_history_name
ENSG00000111971,ENSG00000204428,LY6G5C,ensembl_alt_contig
ENSG00000112096,ENSG00000291237,SOD2,ensembl_id_history_name
ENSG00000112459,ENSG00000204695,OR14J1,ensembl_alt_contig
ENSG00000112461,ENSG00000243729,OR5V1,ensembl_alt_contig
ENSG00000112474,ENSG00000204228,HSD17B8,ensembl_alt_contig
ENSG00000112493,ENSG00000231925,TAPBP,ensembl_alt_contig
ENSG00000116957,ENSG00000284770,TBCE,ensembl_id_history_name
ENSG00000117289,ENSG00000265972,TXNIP,ensembl_id_history_name
ENSG00000120586,ENSG00000260314,MRC1,ensembl_id_history_name
ENSG00000121848,ENSG00000265491,RNF115,ensembl_id_history_name
ENSG00000122497,ENSG00000270629,NBPF14,ensembl_id_history_name
ENSG00000122718,ENSG00000278889,OR2S2,ensembl_id_history_name
ENSG00000126542,ENSG00000278561,PTPN20CP,ensembl_id_history_name
ENSG00000128802,ENSG00000263761,GDF2,ensembl_id_history_name
ENSG00000129270,ENSG00000271447,MMP28,ensembl_id_history_name
ENSG00000129277,ENSG00000275302,CCL4,ensembl_id_history_name
ENSG00000129282,ENSG00000278619,MRM1,ensembl_id_history_name
ENSG00000130201,ENSG00000283632,EXOC3L2,ensembl_id_history_name
ENSG00000130489,ENSG00000284194,SCO2,ensembl_id_history_name
ENSG00000130723,ENSG00000288701,PRRC2B,ensembl_id_history_name
ENSG00000131795,ENSG00000265241,RBM8A,ensembl_id_history_name
ENSG00000132130,ENSG00000273706,LHX1,ensembl_id_history_name
ENSG00000132139,ENSG00000270765,GAS2L2,ensembl_id_history_name
ENSG00000132142,ENSG00000278540,ACACA,ensembl_id_history_name
ENSG00000133149,ENSG00000268629,TEX13A,ensembl_id_history_name
ENSG00000135213,ENSG00000272391,POM121C,ensembl_id_history_name
ENSG00000135847,ENSG00000230124,ACBD6,ensembl_id_history_name
ENSG00000136653,ENSG00000266094,RASSF5,ensembl_id_history_name
ENSG00000137197,ENSG00000204539,CDSN,ensembl_alt_contig
ENSG00000137313,ENSG00000234127,TRIM26,ensembl_alt_contig
ENSG00000137321,ENSG00000236603,RANP1,ensembl_alt_contig
ENSG00000137332,ENSG00000204580,DDR1,ensembl_alt_contig
ENSG00000137345,ENSG00000204655,MOG,ensembl_alt_contig
ENSG00000137384,ENSG00000204610,TRIM15,ensembl_alt_contig
ENSG00000137394,ENSG00000204613,TRIM10,ensembl_alt_contig
ENSG00000137397,ENSG00000204616,TRIM31,ensembl_alt_contig
ENSG00000137403,ENSG00000204642,HLA-F,ensembl_alt_contig
ENSG00000138293,ENSG00000266412,NCOA4,ensembl_id_history_name
ENSG00000138294,ENSG00000263639,MSMB,ensembl_id_history_name
ENSG00000138297,ENSG00000265354,TIMM23,ensembl_id_history_name
ENSG00000140181,ENSG00000276550,HERC2P2,ensembl_id_history_name
ENSG00000141140,ENSG00000278259,MYO19,ensembl_id_history_name
ENSG00000141141,ENSG00000278053,DDX52,ensembl_id_history_name
ENSG00000141150,ENSG00000270885,RASL10B,ensembl_id_history_name
ENSG00000141720,ENSG00000276293,PIP4K2B,ensembl_id_history_name
ENSG00000143140,ENSG00000265107,GJA5,ensembl_id_history_name
ENSG00000143466,ENSG00000263528,IKBKE,ensembl_id_history_name
ENSG00000147380,ENSG00000268221,OPN1MW,ensembl_id_history_name
ENSG00000147402,ENSG00000268089,GABRQ,ensembl_id_history_name
ENSG00000147926,ENSG00000275969,SPATA31A3,ensembl_id_history_name
ENSG00000148362,ENSG00000310560,PAXX,ensembl_id_history_name
ENSG00000150165,ENSG00000264230,ANXA8L1,ensembl_id_history_name
ENSG00000150526,ENSG00000150527,MIA2,ensembl_id_history_name
ENSG00000152022,ENSG00000271601,LIX1L,ensembl_id_history_name
ENSG00000152042,ENSG00000263956,NBPF11,ensembl_id_history_name
ENSG00000152268,ENSG00000262655,SPON1,ensembl_id_history_name
ENSG00000153575,ENSG00000275835,TUBGCP5,ensembl_id_history_name
ENSG00000154537,ENSG00000231527,FAM27C,ensembl_id_history_name
ENSG00000154768,ENSG00000270806,C17orf50,ensembl_id_history_name
ENSG00000155130,ENSG00000277443,MARCKS,ensembl_id_history_name
ENSG00000155984,ENSG00000269556,TMEM185A,ensembl_id_history_name
ENSG00000156750,ENSG00000279688,AQP7P3,ensembl_id_history_name
ENSG00000157358,ENSG00000204501,PRAMEF15,ensembl_id_history_name
ENSG00000157828,ENSG00000280969,RPS4Y2,ensembl_id_history_name
ENSG00000157950,ENSG00000268447,SSX2B,ensembl_id_history_name
ENSG00000159123,ENSG00000269502,DMRTC1,ensembl_id_history_name
ENSG00000160828,ENSG00000277072,STAG3L2,ensembl_id_history_name
ENSG00000161149,ENSG00000284130,TUBA3FP,ensembl_id_history_name
ENSG00000161326,ENSG00000276023,DUSP14,ensembl_id_history_name
ENSG00000161570,ENSG00000271503,CCL5,ensembl_id_history_name
ENSG00000161572,ENSG00000275722,LYZL6,ensembl_id_history_name
ENSG00000161573,ENSG00000275152,CCL16,ensembl_id_history_name
ENSG00000161574,ENSG00000275688,CCL15-CCL14,ensembl_id_history_name
ENSG00000161583,ENSG00000260287,TBC1D3G,ensembl_id_history_name
ENSG00000162290,ENSG00000272886,DCP1A,ensembl_id_history_name
ENSG00000163067,ENSG00000275111,ZNF2,ensembl_id_history_name
ENSG00000163113,ENSG00000264522,OTUD7B,ensembl_id_history_name
ENSG00000163386,ENSG00000271425,NBPF10,ensembl_id_history_name
ENSG00000163486,ENSG00000266028,SRGAP2,ensembl_id_history_name
ENSG00000165388,ENSG00000265763,ZNF488,ensembl_id_history_name
ENSG00000165390,ENSG00000265190,ANXA8,ensembl_id_history_name
ENSG00000165659,ENSG00000276644,DACH1,ensembl_id_history_name
ENSG00000165862,ENSG00000266200,PNLIPRP2,ensembl_id_history_name
ENSG00000166008,ENSG00000123584,MAGEA9,ensembl_id_history_name
ENSG00000166157,ENSG00000274391,TPTE,ensembl_id_history_name
ENSG00000166667,ENSG00000260097,SPDYE6,ensembl_id_history_name
ENSG00000166748,ENSG00000273540,AGBL1,ensembl_id_history_name
ENSG00000167230,ENSG00000278505,C17orf78,ensembl_id_history_name
ENSG00000167236,ENSG00000274736,CCL23,ensembl_id_history_name
ENSG00000167383,ENSG00000278318,ZNF229,ensembl_id_history_name
ENSG00000168379,ENSG00000224557,HLA-DPB2,ensembl_alt_contig
ENSG00000168384,ENSG00000231389,HLA-DPA1,ensembl_alt_contig
ENSG00000168452,ENSG00000221988,PPT2,ensembl_alt_contig
ENSG00000168468,ENSG00000213676,ATF6B,ensembl_alt_contig
ENSG00000168614,ENSG00000269713,NBPF9,ensembl_id_history_name
ENSG00000168787,ENSG00000280236,OR12D2,ensembl_id_history_name
ENSG00000169202,ENSG00000273586,OR10G1P,ensembl_id_history_name
ENSG00000169260,ENSG00000197935,ZNF311,ensembl_alt_contig
ENSG00000169861,ENSG00000277282,IGHV1OR21-1,ensembl_id_history_name
ENSG00000170215,ENSG00000278763,FAM27B,ensembl_id_history_name
ENSG00000170616,ENSG00000261678,SCRT1,ensembl_id_history_name
ENSG00000170727,ENSG00000261236,BOP1,ensembl_id_history_name
ENSG00000170803,ENSG00000279486,OR2AG1,ensembl_id_history_name
ENSG00000171129,ENSG00000268738,HSFX2,ensembl_id_history_name
ENSG00000171471,ENSG00000258102,MAP1LC3B2,ensembl_id_history_name
ENSG00000171484,ENSG00000280094,OR1B1,ensembl_id_history_name
ENSG00000172381,ENSG00000279051,OR6Q1,ensembl_id_history_name
ENSG00000172524,ENSG00000204614,TRIM40,ensembl_alt_contig
ENSG00000172660,ENSG00000270647,TAF15,ensembl_id_history_name
ENSG00000172774,ENSG00000280204,OR1S1,ensembl_id_history_name
ENSG00000172850,ENSG00000204392,LSM2,ensembl_alt_contig
ENSG00000173503,ENSG00000226979,LTA,ensembl_alt_contig
ENSG00000173566,ENSG00000275074,NUDT18,ensembl_id_history_name
ENSG00000173876,ENSG00000251297,TUBB7P,ensembl_alt_contig
ENSG00000174083,ENSG00000276231,PIK3R6,ensembl_id_history_name
ENSG00000174100,ENSG00000278845,MRPL45,ensembl_id_history_name
ENSG00000174111,ENSG00000274211,SOCS7,ensembl_id_history_name
ENSG00000174368,ENSG00000278416,PMS2P2,ensembl_id_history_name
ENSG00000174595,ENSG00000266265,KLF14,ensembl_id_history_name
ENSG00000175393,ENSG00000279000,OR10A6,ensembl_id_history_name
ENSG00000176075,ENSG00000304384,LINC00302,ensembl_id_history_name
ENSG00000176227,ENSG00000271079,CTAGE15,ensembl_id_history_name
ENSG00000176274,ENSG00000269743,SLC25A53,ensembl_id_history_name
ENSG00000176395,ENSG00000273777,CEACAM20,ensembl_id_history_name
ENSG00000176734,ENSG00000255690,TRIL,ensembl_id_history_name
ENSG00000176879,ENSG00000278870,OR51G1,ensembl_id_history_name
ENSG00000176937,ENSG00000279270,OR52R1,ensembl_id_history_name
ENSG00000177764,ENSG00000247315,ZCCHC3,ensembl_id_history_name
ENSG00000179837,ENSG00000259956,RBM15B,ensembl_id_history_name
ENSG00000180636,ENSG00000276240,OR4E1,ensembl_id_history_name
ENSG00000180771,ENSG00000263465,SRSF8,ensembl_id_history_name
ENSG00000181039,ENSG00000272031,ANKRD34A,ensembl_id_history_name
ENSG00000181395,ENSG00000272987,OR5AL1,ensembl_id_history_name
ENSG00000181689,ENSG00000280314,OR8K3,ensembl_id_history_name
ENSG00000181935,ENSG00000279514,OR4C16,ensembl_id_history_name
